idx,name,node1,node2,value,kind
1,P1_0,1,0,1,port
2,R1_0,1,0,50.0,resistor
3,P100000_0,100000,0,3,port
4,R100000_0,100000,0,50.0,resistor
5,C1_0,1,0,6.910595597391847e-16,capacitor
6,L1_2,1,2,4.231176594367187e-12,linear_inductor
7,C100000_0,100000,0,6.910595597391847e-16,capacitor
8,L100000_100001,100000,100001,4.231176594367187e-12,linear_inductor
9,Cc1_100000,1,100000,1.466620689261262e-16,coupling_capacitor
10,K1_100000,L1_2,L100000_100001,0.22373388904618993,mutual_inductor_k
11,C2_0,2,0,1.3821191194783695e-15,capacitor
12,L2_3,2,3,4.231176594367187e-12,linear_inductor
13,C100001_0,100001,0,1.3821191194783695e-15,capacitor
14,L100001_100002,100001,100002,4.231176594367187e-12,linear_inductor
15,Cc2_100001,2,100001,2.933241378522524e-16,coupling_capacitor
16,K2_100001,L2_3,L100001_100002,0.22373388904618993,mutual_inductor_k
17,C3_0,3,0,1.3821191194783695e-15,capacitor
18,L3_4,3,4,4.231176594367187e-12,linear_inductor
19,C100002_0,100002,0,1.3821191194783695e-15,capacitor
20,L100002_100003,100002,100003,4.231176594367187e-12,linear_inductor
21,Cc3_100002,3,100002,2.933241378522524e-16,coupling_capacitor
22,K3_100002,L3_4,L100002_100003,0.22373388904618993,mutual_inductor_k
23,C4_0,4,0,1.3821191194783695e-15,capacitor
24,L4_5,4,5,4.231176594367187e-12,linear_inductor
25,C100003_0,100003,0,1.3821191194783695e-15,capacitor
26,L100003_100004,100003,100004,4.231176594367187e-12,linear_inductor
27,Cc4_100003,4,100003,2.933241378522524e-16,coupling_capacitor
28,K4_100003,L4_5,L100003_100004,0.22373388904618993,mutual_inductor_k
29,C5_0,5,0,1.3821191194783695e-15,capacitor
30,L5_6,5,6,4.231176594367187e-12,linear_inductor
31,C100004_0,100004,0,1.3821191194783695e-15,capacitor
32,L100004_100005,100004,100005,4.231176594367187e-12,linear_inductor
33,Cc5_100004,5,100004,2.933241378522524e-16,coupling_capacitor
34,K5_100004,L5_6,L100004_100005,0.22373388904618993,mutual_inductor_k
35,C6_0,6,0,1.3821191194783695e-15,capacitor
36,L6_7,6,7,4.231176594367187e-12,linear_inductor
37,C100005_0,100005,0,1.3821191194783695e-15,capacitor
38,L100005_100006,100005,100006,4.231176594367187e-12,linear_inductor
39,Cc6_100005,6,100005,2.933241378522524e-16,coupling_capacitor
40,K6_100005,L6_7,L100005_100006,0.22373388904618993,mutual_inductor_k
41,C7_0,7,0,1.3821191194783695e-15,capacitor
42,L7_8,7,8,4.231176594367187e-12,linear_inductor
43,C100006_0,100006,0,1.3821191194783695e-15,capacitor
44,L100006_100007,100006,100007,4.231176594367187e-12,linear_inductor
45,Cc7_100006,7,100006,2.933241378522524e-16,coupling_capacitor
46,K7_100006,L7_8,L100006_100007,0.22373388904618993,mutual_inductor_k
47,C8_0,8,0,1.3821191194783695e-15,capacitor
48,L8_9,8,9,4.231176594367187e-12,linear_inductor
49,C100007_0,100007,0,1.3821191194783695e-15,capacitor
50,L100007_100008,100007,100008,4.231176594367187e-12,linear_inductor
51,Cc8_100007,8,100007,2.933241378522524e-16,coupling_capacitor
52,K8_100007,L8_9,L100007_100008,0.22373388904618993,mutual_inductor_k
53,C9_0,9,0,1.3821191194783695e-15,capacitor
54,L9_10,9,10,4.231176594367187e-12,linear_inductor
55,C100008_0,100008,0,1.3821191194783695e-15,capacitor
56,L100008_100009,100008,100009,4.231176594367187e-12,linear_inductor
57,Cc9_100008,9,100008,2.933241378522524e-16,coupling_capacitor
58,K9_100008,L9_10,L100008_100009,0.22373388904618993,mutual_inductor_k
59,C10_0,10,0,1.3821191194783695e-15,capacitor
60,L10_11,10,11,4.231176594367187e-12,linear_inductor
61,C100009_0,100009,0,1.3821191194783695e-15,capacitor
62,L100009_100010,100009,100010,4.231176594367187e-12,linear_inductor
63,Cc10_100009,10,100009,2.933241378522524e-16,coupling_capacitor
64,K10_100009,L10_11,L100009_100010,0.22373388904618993,mutual_inductor_k
65,C11_0,11,0,1.3821191194783695e-15,capacitor
66,L11_12,11,12,4.231176594367187e-12,linear_inductor
67,C100010_0,100010,0,1.3821191194783695e-15,capacitor
68,L100010_100011,100010,100011,4.231176594367187e-12,linear_inductor
69,Cc11_100010,11,100010,2.933241378522524e-16,coupling_capacitor
70,K11_100010,L11_12,L100010_100011,0.22373388904618993,mutual_inductor_k
71,C12_0,12,0,1.3821191194783695e-15,capacitor
72,L12_13,12,13,4.231176594367187e-12,linear_inductor
73,C100011_0,100011,0,1.3821191194783695e-15,capacitor
74,L100011_100012,100011,100012,4.231176594367187e-12,linear_inductor
75,Cc12_100011,12,100011,2.933241378522524e-16,coupling_capacitor
76,K12_100011,L12_13,L100011_100012,0.22373388904618993,mutual_inductor_k
77,C13_0,13,0,1.3821191194783695e-15,capacitor
78,L13_14,13,14,4.231176594367187e-12,linear_inductor
79,C100012_0,100012,0,1.3821191194783695e-15,capacitor
80,L100012_100013,100012,100013,4.231176594367187e-12,linear_inductor
81,Cc13_100012,13,100012,2.933241378522524e-16,coupling_capacitor
82,K13_100012,L13_14,L100012_100013,0.22373388904618993,mutual_inductor_k
83,C14_0,14,0,1.3821191194783695e-15,capacitor
84,L14_15,14,15,4.231176594367187e-12,linear_inductor
85,C100013_0,100013,0,1.3821191194783695e-15,capacitor
86,L100013_100014,100013,100014,4.231176594367187e-12,linear_inductor
87,Cc14_100013,14,100013,2.933241378522524e-16,coupling_capacitor
88,K14_100013,L14_15,L100013_100014,0.22373388904618993,mutual_inductor_k
89,C15_0,15,0,1.3821191194783695e-15,capacitor
90,L15_16,15,16,4.231176594367187e-12,linear_inductor
91,C100014_0,100014,0,1.3821191194783695e-15,capacitor
92,L100014_100015,100014,100015,4.231176594367187e-12,linear_inductor
93,Cc15_100014,15,100014,2.933241378522524e-16,coupling_capacitor
94,K15_100014,L15_16,L100014_100015,0.22373388904618993,mutual_inductor_k
95,C16_0,16,0,1.3821191194783695e-15,capacitor
96,L16_17,16,17,4.231176594367187e-12,linear_inductor
97,C100015_0,100015,0,1.3821191194783695e-15,capacitor
98,L100015_100016,100015,100016,4.231176594367187e-12,linear_inductor
99,Cc16_100015,16,100015,2.933241378522524e-16,coupling_capacitor
100,K16_100015,L16_17,L100015_100016,0.22373388904618993,mutual_inductor_k
101,C17_0,17,0,1.3821191194783695e-15,capacitor
102,L17_18,17,18,4.231176594367187e-12,linear_inductor
103,C100016_0,100016,0,1.3821191194783695e-15,capacitor
104,L100016_100017,100016,100017,4.231176594367187e-12,linear_inductor
105,Cc17_100016,17,100016,2.933241378522524e-16,coupling_capacitor
106,K17_100016,L17_18,L100016_100017,0.22373388904618993,mutual_inductor_k
107,C18_0,18,0,1.3821191194783695e-15,capacitor
108,L18_19,18,19,4.231176594367187e-12,linear_inductor
109,C100017_0,100017,0,1.3821191194783695e-15,capacitor
110,L100017_100018,100017,100018,4.231176594367187e-12,linear_inductor
111,Cc18_100017,18,100017,2.933241378522524e-16,coupling_capacitor
112,K18_100017,L18_19,L100017_100018,0.22373388904618993,mutual_inductor_k
113,C19_0,19,0,1.3821191194783695e-15,capacitor
114,L19_20,19,20,4.231176594367187e-12,linear_inductor
115,C100018_0,100018,0,1.3821191194783695e-15,capacitor
116,L100018_100019,100018,100019,4.231176594367187e-12,linear_inductor
117,Cc19_100018,19,100018,2.933241378522524e-16,coupling_capacitor
118,K19_100018,L19_20,L100018_100019,0.22373388904618993,mutual_inductor_k
119,C20_0,20,0,1.3821191194783695e-15,capacitor
120,L20_21,20,21,4.231176594367187e-12,linear_inductor
121,C100019_0,100019,0,1.3821191194783695e-15,capacitor
122,L100019_100020,100019,100020,4.231176594367187e-12,linear_inductor
123,Cc20_100019,20,100019,2.933241378522524e-16,coupling_capacitor
124,K20_100019,L20_21,L100019_100020,0.22373388904618993,mutual_inductor_k
125,C21_0,21,0,1.3821191194783695e-15,capacitor
126,L21_22,21,22,4.231176594367187e-12,linear_inductor
127,C100020_0,100020,0,1.3821191194783695e-15,capacitor
128,L100020_100021,100020,100021,4.231176594367187e-12,linear_inductor
129,Cc21_100020,21,100020,2.933241378522524e-16,coupling_capacitor
130,K21_100020,L21_22,L100020_100021,0.22373388904618993,mutual_inductor_k
131,C22_0,22,0,1.3821191194783695e-15,capacitor
132,L22_23,22,23,4.231176594367187e-12,linear_inductor
133,C100021_0,100021,0,1.3821191194783695e-15,capacitor
134,L100021_100022,100021,100022,4.231176594367187e-12,linear_inductor
135,Cc22_100021,22,100021,2.933241378522524e-16,coupling_capacitor
136,K22_100021,L22_23,L100021_100022,0.22373388904618993,mutual_inductor_k
137,C23_0,23,0,1.3821191194783695e-15,capacitor
138,L23_24,23,24,4.231176594367187e-12,linear_inductor
139,C100022_0,100022,0,1.3821191194783695e-15,capacitor
140,L100022_100023,100022,100023,4.231176594367187e-12,linear_inductor
141,Cc23_100022,23,100022,2.933241378522524e-16,coupling_capacitor
142,K23_100022,L23_24,L100022_100023,0.22373388904618993,mutual_inductor_k
143,C24_0,24,0,1.3821191194783695e-15,capacitor
144,L24_25,24,25,4.231176594367187e-12,linear_inductor
145,C100023_0,100023,0,1.3821191194783695e-15,capacitor
146,L100023_100024,100023,100024,4.231176594367187e-12,linear_inductor
147,Cc24_100023,24,100023,2.933241378522524e-16,coupling_capacitor
148,K24_100023,L24_25,L100023_100024,0.22373388904618993,mutual_inductor_k
149,C25_0,25,0,1.3821191194783695e-15,capacitor
150,L25_26,25,26,4.231176594367187e-12,linear_inductor
151,C100024_0,100024,0,1.3821191194783695e-15,capacitor
152,L100024_100025,100024,100025,4.231176594367187e-12,linear_inductor
153,Cc25_100024,25,100024,2.933241378522524e-16,coupling_capacitor
154,K25_100024,L25_26,L100024_100025,0.22373388904618993,mutual_inductor_k
155,C26_0,26,0,1.3821191194783695e-15,capacitor
156,L26_27,26,27,4.231176594367187e-12,linear_inductor
157,C100025_0,100025,0,1.3821191194783695e-15,capacitor
158,L100025_100026,100025,100026,4.231176594367187e-12,linear_inductor
159,Cc26_100025,26,100025,2.933241378522524e-16,coupling_capacitor
160,K26_100025,L26_27,L100025_100026,0.22373388904618993,mutual_inductor_k
161,C27_0,27,0,1.3821191194783695e-15,capacitor
162,L27_28,27,28,4.231176594367187e-12,linear_inductor
163,C100026_0,100026,0,1.3821191194783695e-15,capacitor
164,L100026_100027,100026,100027,4.231176594367187e-12,linear_inductor
165,Cc27_100026,27,100026,2.933241378522524e-16,coupling_capacitor
166,K27_100026,L27_28,L100026_100027,0.22373388904618993,mutual_inductor_k
167,C28_0,28,0,1.3821191194783695e-15,capacitor
168,L28_29,28,29,4.231176594367187e-12,linear_inductor
169,C100027_0,100027,0,1.3821191194783695e-15,capacitor
170,L100027_100028,100027,100028,4.231176594367187e-12,linear_inductor
171,Cc28_100027,28,100027,2.933241378522524e-16,coupling_capacitor
172,K28_100027,L28_29,L100027_100028,0.22373388904618993,mutual_inductor_k
173,C29_0,29,0,1.3821191194783695e-15,capacitor
174,L29_30,29,30,4.231176594367187e-12,linear_inductor
175,C100028_0,100028,0,1.3821191194783695e-15,capacitor
176,L100028_100029,100028,100029,4.231176594367187e-12,linear_inductor
177,Cc29_100028,29,100028,2.933241378522524e-16,coupling_capacitor
178,K29_100028,L29_30,L100028_100029,0.22373388904618993,mutual_inductor_k
179,C30_0,30,0,1.3821191194783695e-15,capacitor
180,L30_31,30,31,4.231176594367187e-12,linear_inductor
181,C100029_0,100029,0,1.3821191194783695e-15,capacitor
182,L100029_100030,100029,100030,4.231176594367187e-12,linear_inductor
183,Cc30_100029,30,100029,2.933241378522524e-16,coupling_capacitor
184,K30_100029,L30_31,L100029_100030,0.22373388904618993,mutual_inductor_k
185,C31_0,31,0,1.3821191194783695e-15,capacitor
186,L31_32,31,32,4.231176594367187e-12,linear_inductor
187,C100030_0,100030,0,1.3821191194783695e-15,capacitor
188,L100030_100031,100030,100031,4.231176594367187e-12,linear_inductor
189,Cc31_100030,31,100030,2.933241378522524e-16,coupling_capacitor
190,K31_100030,L31_32,L100030_100031,0.22373388904618993,mutual_inductor_k
191,C32_0,32,0,1.3821191194783695e-15,capacitor
192,L32_33,32,33,4.231176594367187e-12,linear_inductor
193,C100031_0,100031,0,1.3821191194783695e-15,capacitor
194,L100031_100032,100031,100032,4.231176594367187e-12,linear_inductor
195,Cc32_100031,32,100031,2.933241378522524e-16,coupling_capacitor
196,K32_100031,L32_33,L100031_100032,0.22373388904618993,mutual_inductor_k
197,C33_0,33,0,1.3821191194783695e-15,capacitor
198,L33_34,33,34,4.231176594367187e-12,linear_inductor
199,C100032_0,100032,0,1.3821191194783695e-15,capacitor
200,L100032_100033,100032,100033,4.231176594367187e-12,linear_inductor
201,Cc33_100032,33,100032,2.933241378522524e-16,coupling_capacitor
202,K33_100032,L33_34,L100032_100033,0.22373388904618993,mutual_inductor_k
203,C34_0,34,0,1.3821191194783695e-15,capacitor
204,L34_35,34,35,4.231176594367187e-12,linear_inductor
205,C100033_0,100033,0,1.3821191194783695e-15,capacitor
206,L100033_100034,100033,100034,4.231176594367187e-12,linear_inductor
207,Cc34_100033,34,100033,2.933241378522524e-16,coupling_capacitor
208,K34_100033,L34_35,L100033_100034,0.22373388904618993,mutual_inductor_k
209,C35_0,35,0,1.3821191194783695e-15,capacitor
210,L35_36,35,36,4.231176594367187e-12,linear_inductor
211,C100034_0,100034,0,1.3821191194783695e-15,capacitor
212,L100034_100035,100034,100035,4.231176594367187e-12,linear_inductor
