pass,point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,status,pump_status,gain_status,warm_started,warm_retry_reseed,pump_predictor,pump_failure_reason,gain_failure_reason,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_newton_total,pump_gmres_total,pump_coeff_rel,pump_time_rel,pump_branch_current_max,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,elapsed_s,pump_dir
warm,0,0,0,-23.635,8.1530612245,6.981202787662067e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,none,,,30.820095776344075,31.214275136449242,32.83728658890277,8.0530612245,7.645779553456314e-12,0.9472073999932036,0.9991119999904186,0.008235099987359717,4.799978341907263e-06,0.9567579999857116,0.034058500023093075,0.6580264999938663,0.0,0.0,1,1,6.347502902368599e-13,1.6175891954539653e-12,1.8005423699114238e-06,direct,,,,,0.9471424999937881,0.947140699980082,0.14482929999940097,0.028882999991765246,0.0006707000138703734,0.20731930001056753,0.5017324999789707,0.0050441000203136355,0.0038323999906424433,,,1.9486020000185817,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0000_p_m23p635dbm_fp_8p15306ghz\pump
warm,1,1,0,-23.630000000000003,8.1530612245,6.985222647927353e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.958),,,,,,,4.1208313000097405,4.173003799980506,0.01056239998433739,6.399990525096655e-06,4.1286202000046615,0.03374469999107532,2.6537157999991905,0.0,0.0,4,4,0.0004469732330847011,0.000446973233084587,1.814971937869825e-06,direct,,,,,,,,,,,,,,,,4.17304259998491,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0001_p_m23p63dbm_fp_8p15306ghz\pump
warm,2,2,0,-23.625,8.1530612245,6.9892448228763895e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.998),,,,,,,4.084122500004014,4.133267099998193,0.007262200000695884,1.400010660290718e-06,4.093122399994172,0.03284870000788942,2.448737800033996,0.0,0.0,4,4,0.0010131797528667062,0.001013179752866798,1.8143397722800494e-06,direct,,,,,,,,,,,,,,,,4.133291300007841,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0002_p_m23p625dbm_fp_8p15306ghz\pump
warm,3,3,0,-23.62,8.1530612245,6.993269313841985e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.997),,,,,,,3.8625102999794763,3.909314699994866,0.0076394999923650175,1.0999792721122503e-06,3.869941699987976,0.0317061000096146,2.3286155999521725,0.0,0.0,4,4,0.0015355997355665253,0.001535599735566585,1.8158825295010823e-06,direct,,,,,,,,,,,,,,,,3.9093365999870002,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0003_p_m23p62dbm_fp_8p15306ghz\pump
warm,4,4,0,-23.615000000000002,8.1530612245,6.997296122157716e-06,ERROR,FAIL,ERROR,True,False,none,line search failed at Newton 4,,,,,,,4.421145700005582,4.9643945999850985,0.007267500011948869,1.200009137392044e-06,4.431410399993183,0.5256748000101652,2.5738781000254676,0.0,0.0,4,4,0.0021284539772888178,0.0021284539772889436,1.8174094877161305e-06,direct,,,,,,,,,,,,,,,,4.9644225999945775,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0004_p_m23p615dbm_fp_8p15306ghz\pump
warm,5,5,0,-23.610000000000003,8.1530612245,7.00132524915796e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.980),,,,,,,4.223764900001697,4.280665400001453,0.007857599994167686,1.3999815564602613e-06,4.232944000017596,0.03982239999459125,2.5066643000172917,0.0,0.0,4,4,0.0026686431034292414,0.002668643103429391,1.8283336611422399e-06,direct,,,,,,,,,,,,,,,,4.280697400012286,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0005_p_m23p61dbm_fp_8p15306ghz\pump
warm,6,6,0,-23.605,8.1530612245,7.005356696177853e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.998),,,,,,,4.593141999997897,4.651517199992668,0.007866300002206117,1.9999861251562834e-06,4.605847099999664,0.03775310001219623,2.6612841000023764,0.0,0.0,4,4,0.0031966369154362716,0.003196636915436317,1.8283016536600977e-06,direct,,,,,,,,,,,,,,,,4.651547499990556,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0006_p_m23p605dbm_fp_8p15306ghz\pump
warm,7,7,0,-23.6,8.1530612245,7.009390464553252e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.998),,,,,,,4.485868999996455,4.534739499998977,0.007528400019509718,1.400010660290718e-06,4.492921699973522,0.03424920001998544,2.6022066000150517,0.0,0.0,4,4,0.003703506117339885,0.0037035061173398406,1.823468265699546e-06,direct,,,,,,,,,,,,,,,,4.534775499982061,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0007_p_m23p6dbm_fp_8p15306ghz\pump
warm,8,8,0,-23.595000000000002,8.1530612245,7.013426555620852e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.984),,,,,,,4.087474700005259,4.138420800009044,0.010522099997615442,2.1999876480549574e-06,4.0943384999991395,0.0335274999961257,2.4016414000070654,0.0,0.0,4,4,0.0042161593498808115,0.004216159349881002,1.836449304871107e-06,direct,,,,,,,,,,,,,,,,4.13845259998925,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0008_p_m23p595dbm_fp_8p15306ghz\pump
warm,9,9,0,-23.59,8.1530612245,7.017464970718092e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.990),,,,,,,4.220071799994912,4.276974199980032,0.006612199998926371,1.100008375942707e-06,4.2327883999969345,0.03752630000235513,2.5265260999731254,0.0,0.0,4,4,0.004786612371725001,0.004786612371724873,1.842201969256525e-06,direct,,,,,,,,,,,,,,,,4.2770210999879055,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0009_p_m23p59dbm_fp_8p15306ghz\pump
warm,10,10,0,-23.585,8.1530612245,7.021505711183143e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.989),,,,,,,4.476397100021131,4.583279500016943,0.00863620001473464,1.700012944638729e-06,4.482888999977149,0.09171710000373423,2.617524200002663,0.0,0.0,4,4,0.00533938797049768,0.005339387970497606,1.8453924437727278e-06,direct,,,,,,,,,,,,,,,,4.583322300022701,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0010_p_m23p585dbm_fp_8p15306ghz\pump
warm,11,11,0,-23.580000000000002,8.1530612245,7.025548778355006e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 4 (reduction ratio 0.986),,,,,,,4.150013500009663,4.208798700012267,0.007150299992645159,2.0999868866056204e-06,4.1601435000193305,0.04145280001102947,2.407116899994435,0.0,0.0,4,4,0.00588487324341786,0.005884873243418039,1.8578733303318824e-06,direct,,,,,,,,,,,,,,,,4.208834899996873,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0011_p_m23p58dbm_fp_8p15306ghz\pump
warm,12,12,0,-23.575,8.1530612245,7.029594173573434e-06,ERROR,FAIL,ERROR,True,False,none,line search failed at Newton 3,,,,,,,3.5140865000139456,3.563227900012862,0.005399100016802549,2.00001522898674e-06,3.5224188000138383,0.03536340000573546,1.9663895999838132,0.0,0.0,3,3,0.006525603038290148,0.006525603038290486,1.8272807216612101e-06,direct,,,,,,,,,,,,,,,,3.563274900021497,diagnostics\2c_measurement_comparison\matched_8153_arclength_local\warm\points\point_0012_p_m23p575dbm_fp_8p15306ghz\pump
