pass,point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,status,pump_status,gain_status,warm_started,warm_retry_reseed,pump_predictor,pump_failure_reason,gain_failure_reason,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_newton_total,pump_gmres_total,pump_coeff_rel,pump_time_rel,pump_branch_current_max,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,elapsed_s,pump_dir
warm,0,0,0,-24.2,8.1530612245,6.5415437970097505e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,none,,,19.669330314506304,20.063509674611467,23.49955063668045,8.0530612245,2.9418997533558605e-12,0.805803700000979,0.8546277999994345,0.007759900006931275,2.7999922167509794e-06,0.8121096000249963,0.034713300003204495,0.5727964999969117,0.0,0.0,1,1,6.764258505177554e-13,1.7010644919941108e-12,1.639821867355957e-06,direct,,,,,0.8107546999817714,0.8107527999964077,0.09313940000720322,0.02411469997605309,0.0005619000003207475,0.17582589999074116,0.4537832000060007,0.005669800011673942,0.003811799979303032,,,1.6670653000182938,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0000_p_m24p2dbm_fp_8p15306ghz\pump
warm,1,1,0,-24.195,8.1530612245,6.5453104963569894e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,none,,,19.7110246653113,20.105204025416462,23.532225749194993,8.0530612245,3.1065573249637597e-12,2.8083288999914657,2.8658354000071995,0.009173300000838935,2.4999899324029684e-06,2.817312800005311,0.03929239997523837,2.0433381000475492,0.0,0.0,3,3,3.940207422244899e-10,3.9402371227472346e-10,1.6359640379368953e-06,direct,,,,,0.9546990999951959,0.9546978000144009,0.14826350001385435,0.023475599999073893,0.0005594000103883445,0.21878739999374375,0.4759739000000991,0.006939100014278665,0.0068728000042028725,,,3.8228256999864243,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0001_p_m24p195dbm_fp_8p15306ghz\pump
warm,2,2,0,-24.189999999999998,8.1530612245,6.549079364614886e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,19.77111040746965,20.165289767574812,23.585245184356264,8.0530612245,3.3425298802844403e-12,2.677565499994671,2.7332096000027377,0.010225199977867305,2.5999906938523054e-06,2.685077200003434,0.037863200006540865,1.9994813000084832,0.0,0.0,3,3,6.989080868586853e-13,1.7195039933434187e-12,1.6303941686657002e-06,direct,,,,,0.9575228999892715,0.9575219000107609,0.11055660000420175,0.024587499996414408,0.00053039999329485,0.23861679999390617,0.5186689000111073,0.004572900012135506,0.005538800003705546,,,3.6938313999853563,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0002_p_m24p19dbm_fp_8p15306ghz\pump
warm,3,3,0,-24.185,8.1530612245,6.552850403032313e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,19.853113701203558,20.24729306130872,23.658764133476694,8.0530612245,3.002949047402018e-12,2.718144599988591,2.769109999993816,0.008647699985885993,2.7999922167509794e-06,2.727490699995542,0.032931900001131,2.016326000011759,0.0,0.0,3,3,9.035437136399207e-13,1.815202760010448e-12,1.622501301806611e-06,direct,,,,,0.9430864999885671,0.9430856000108179,0.14867880000383593,0.026030799985164776,0.000766699988162145,0.2027914999925997,0.4990045000158716,0.004789399972651154,0.006020800006808713,,,3.714363700011745,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0003_p_m24p185dbm_fp_8p15306ghz\pump
warm,4,4,0,-24.18,8.1530612245,6.556623612858858e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,20.001589010603084,20.39576837070825,23.783947761176204,8.0530612245,3.927636876211332e-12,3.54669119999744,3.600831099989591,0.008251299994299188,1.9999861251562834e-06,3.5561941000050865,0.036342899984447286,2.61021160002565,0.0,0.0,4,4,9.136827299718559e-13,1.777799888772691e-12,1.6310477216616601e-06,direct,,,,,0.9763103000004776,0.9763087999890558,0.1720814000000246,0.02597240000613965,0.0004909000126644969,0.20146060001570731,0.4890376999974251,0.0074013000121340156,0.004397799988510087,,,4.578176400013035,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0004_p_m24p18dbm_fp_8p15306ghz\pump
warm,5,5,0,-24.175,8.1530612245,6.5603989953448675e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,20.671556680686855,21.065736040792018,24.26848742065372,8.0530612245,3.4033497021776328e-12,5.803569300012896,5.997703500004718,0.01047649999964051,1.7999846022576094e-06,5.811397500016028,0.17578749998938292,4.17226160003338,0.0,0.0,7,7,7.340392975901883e-13,1.7384569139248405e-12,1.6821806189414464e-06,direct,,,,,0.905342300015036,0.9053410000051372,0.14077889997861348,0.02647650000290014,0.0008338000043295324,0.17859140000655316,0.49956090000341646,0.004389000008814037,0.0055739000090397894,,,6.9037330000137445,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0005_p_m24p175dbm_fp_8p15306ghz\pump
warm,6,6,0,-24.169999999999998,8.1530612245,6.564176551741389e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,20.755116090667215,21.14929545077238,24.342323968520795,8.0530612245,2.7552435864311384e-12,4.21873309998773,4.29628369997954,0.010885700001381338,2.100015990436077e-06,4.231503899995005,0.05384460001369007,3.1908557999995537,0.0,0.0,5,5,2.4024061035278347e-12,2.860401385020784e-12,1.6825803513898731e-06,direct,,,,,0.9984059999987949,0.9984048000187613,0.16972499998519197,0.025889300013659522,0.0005425999988801777,0.2299858999904245,0.49909510000725277,0.006378899997798726,0.005190600000787526,,,5.29606180000701,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0006_p_m24p17dbm_fp_8p15306ghz\pump
warm,7,7,0,-24.165,8.1530612245,6.567956283300154e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,20.812883424027035,21.207062784132198,24.399732145396932,8.0530612245,2.97778423146042e-12,2.7050418999860995,2.7613115000131074,0.007500000006984919,1.6999838408082724e-06,2.714736800000537,0.03903780001564883,1.9731651000329293,0.0,0.0,3,3,6.6747551080089e-13,1.6804323892293096e-12,1.6820988097510986e-06,direct,,,,,0.9409483000054024,0.940947099996265,0.12587879999773577,0.02250550000462681,0.0011144999880343676,0.21705020000808872,0.4945838999992702,0.005093099985970184,0.005338999995728955,,,3.703328600007808,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0007_p_m24p165dbm_fp_8p15306ghz\pump
warm,8,8,0,-24.16,8.1530612245,6.571738191273675e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,20.859886298569414,21.254065658674577,24.451281429230534,8.0530612245,2.7015311609976025e-12,2.709588800003985,2.7690243999822997,0.006272599974181503,1.5999830793589354e-06,2.7212809000047855,0.04142279998632148,1.9841957000026014,0.0,0.0,3,3,6.728181607161228e-13,1.6879899833261354e-12,1.6785243027563568e-06,direct,,,,,0.7836771000002045,0.7836763999948744,0.09767440002178773,0.021455399983096868,0.0007015999872237444,0.1910931000020355,0.4124454000266269,0.004611100011970848,0.004050199990160763,,,3.5531309999933,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0008_p_m24p16dbm_fp_8p15306ghz\pump
warm,9,9,0,-24.154999999999998,8.1530612245,6.575522276915163e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,20.902262796238574,21.296442156343737,24.50158851528547,8.0530612245,3.098601867152589e-12,1.7626250000030268,1.8156375999969896,0.007293200003914535,1.00000761449337e-06,1.7715061000199057,0.03679839998949319,1.327939900016645,0.0,0.0,2,2,4.1181204996695375e-10,4.1181489198832704e-10,1.6729131696432965e-06,direct,,,,,0.9684878999833018,0.9684870000055525,0.15790979997836985,0.022654700005659834,0.0004935000033583492,0.20816280000144616,0.505236099998001,0.005589699983829632,0.007305200007976964,,,2.7850650000036694,diagnostics\2c_measurement_comparison\matched_8153_seeded_step005\warm\points\point_0009_p_m24p155dbm_fp_8p15306ghz\pump
