pass,point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,status,pump_status,gain_status,warm_started,warm_retry_reseed,pump_predictor,pump_failure_reason,gain_failure_reason,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_newton_total,pump_gmres_total,pump_coeff_rel,pump_time_rel,pump_branch_current_max,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,elapsed_s,pump_dir
warm,0,0,0,-40.0,7.043,1.193060016028432e-06,PASS,VALID_CONVERGED,VALID_SOLVED,False,False,none,,,0.8558352060709242,0.9181915724669877,0.8871086450213785,6.9430000000000005,9.15981274766204e-13,10.59949150000466,10.871774300001562,0.018483799998648465,0.1705184000020381,10.600755199993728,0.07522079997579567,8.746777499996824,0.421012199978577,6.546862700022757,5,5,1.0742734790962735e-12,2.266835167377197e-12,5.325392786278146e-07,adaptive_secant,1,True,,10.600752799975453,0.7152012000151444,0.7151971000130288,0.1463915999920573,0.01932449999731034,0.0013215999933890998,0.146561199973803,0.29482219999772497,0.006219500006409362,0.00870440001017414,,,11.675297200010391,diagnostics\2c_measurement_comparison\raw_7043_boundary\warm\points\point_0000_p_m40dbm_fp_7p043ghz\pump
warm,1,1,0,-39.5,7.043,1.2637532663381923e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 5 (reduction ratio 0.991),,,,,,,1.6993453000031877,1.782642100006342,0.014011199993547052,0.0006525000208057463,1.6998514000151772,0.06370709999464452,0.89963150001131,0.34278660005657,0.554169200011529,5,5,0.0079561886790328,,8.298767989804454e-07,direct,,,,,,,,,,,,,,,,1.7826769000093918,diagnostics\2c_measurement_comparison\raw_7043_boundary\warm\points\point_0001_p_m39p5dbm_fp_7p043ghz\pump
warm,2,2,0,-39.0,7.043,1.3386353550736963e-06,ERROR,FAIL,ERROR,True,False,none,stalled at Newton 7 (reduction ratio 1.000),,,,,,,2.7741697000165004,2.9264922000002116,0.01072540000313893,0.0003148999821860343,2.7747724000073504,0.13575509999645874,1.4177613999927416,0.5356199000088964,0.8766060999478213,7,7,0.007606729992958399,,1.0677638194400918e-06,direct,,,,,,,,,,,,,,,,2.9265402000164613,diagnostics\2c_measurement_comparison\raw_7043_boundary\warm\points\point_0002_p_m39dbm_fp_7p043ghz\pump
warm,3,3,0,-38.5,7.043,1.4179544865158353e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
warm,4,4,0,-38.0,7.043,1.5019735719737482e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
warm,5,5,0,-37.5,7.043,1.5909711012310327e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
warm,6,6,0,-37.0,7.043,1.6852420656283847e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
warm,7,7,0,-36.5,7.043,1.7850989358423352e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
warm,8,8,0,-36.0,7.043,1.8908726976010075e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
warm,9,9,0,-35.5,7.043,2.002913948769896e-06,SKIP_PAST_FOLD,SKIP_PAST_FOLD,SKIP_PAST_FOLD,False,False,skip,skipped after consecutive pump failures in column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
