pass,point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,status,pump_status,gain_status,warm_started,warm_retry_reseed,pump_predictor,pump_failure_reason,gain_failure_reason,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_newton_total,pump_gmres_total,pump_coeff_rel,pump_time_rel,pump_branch_current_max,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,elapsed_s,pump_dir
warm,0,0,0,-31.0,7.043,3.362499985148626e-06,PASS,VALID_CONVERGED,VALID_SOLVED,False,False,none,,,7.721728333509978,7.784084699906039,8.801991544619993,6.9430000000000005,1.3527069453616492e-12,5.0913682999962475,5.293975699984003,0.00867320000543259,0.1153329000226222,5.092128099990077,0.07407960001728497,3.577718799962895,0.5667528000194579,2.172495200065896,12,12,4.831545903589406e-12,5.245285118674845e-12,1.535902114747741e-06,adaptive_secant,1,True,,5.092125700000906,0.5400816000183113,0.5400765000085812,0.0810901999939233,0.014570400002412498,0.0011677999864332378,0.11953639998682775,0.24122100000386126,0.00545980001334101,0.007841600017854944,,,5.909641600010218,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0000_p_m31dbm_fp_7p043ghz\pump
warm,1,1,0,-30.98,7.043,3.370251348151327e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,none,,,7.729441005708885,7.791797372104947,8.841415508641381,6.9430000000000005,1.1833420810608607e-12,0.8765044000174385,0.9317971999989823,0.01171950000571087,0.0003884999896399677,0.8776323000201955,0.03619969999999739,0.49875889997929335,0.20525410000118427,0.292061299958732,3,3,6.625450969546279e-14,2.0997487287848e-12,1.540003350178544e-06,direct,,,,,0.470241500006523,0.47024039999814704,0.14260320001631044,0.01507980001042597,0.0005850000015925616,0.0790839999972377,0.1779454000061378,0.004608600022038445,0.0040068000089377165,,,1.4400432000111323,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0001_p_m30p98dbm_fp_7p043ghz\pump
warm,2,2,0,-30.96,7.043,3.3780205798911777e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.73915054662159,7.801506913017654,8.883202781434322,6.9430000000000005,1.1343515982420825e-12,0.4590809000073932,0.5054400000080932,0.007973100000526756,0.00033370000892318785,0.45956490002572536,0.03397059999406338,0.22875650000059977,0.06591269999626093,0.16177199996309355,2,2,5.884021102327216e-12,6.246235520544526e-12,1.5436629507465105e-06,direct,,,,,0.51297079998767,0.5129702999838628,0.12039440000080504,0.01426190001075156,0.0005012000037822872,0.09884349998901598,0.22220990000641905,0.0049894000112544745,0.004853399994317442,,,1.0982416000042576,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0002_p_m30p96dbm_fp_7p043ghz\pump
warm,3,3,0,-30.94,7.043,3.3858077215598704e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.750897529427369,7.813253895823433,8.927337176959254,6.9430000000000005,1.1758713540295e-12,0.8610419000033289,0.9158426999929361,0.006342000007862225,0.00027210000553168356,0.8618783999991138,0.04124489999958314,0.42369910000707023,0.13371850000112318,0.2884591000038199,3,3,3.7037516466017887e-14,2.1208017841353583e-12,1.546750811194368e-06,direct,,,,,0.48238070000661537,0.4823801000020467,0.10991599998669699,0.01354469999205321,0.0005193000251892954,0.09275739997974597,0.22015649999957532,0.005129400000441819,0.0042284999799449,,,1.4370861999923363,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0003_p_m30p94dbm_fp_7p043ghz\pump
warm,4,4,0,-30.92,7.043,3.3936128144440525e-06,ERROR,FAIL,ERROR,True,False,secant,line search failed at Newton 3,,,,,,,0.8344149000186007,0.8863529000082053,0.008852400002069771,0.00041569999302737415,0.8350505999987945,0.03814580000471324,0.42440660001011565,0.1414855000039097,0.28151899998192675,3,3,4.437843371709465e-05,,1.5490236296902814e-06,direct,,,,,,,,,,,,,,,,0.8864004000206478,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0004_p_m30p92dbm_fp_7p043ghz\pump
warm,5,5,0,-30.9,7.043,3.401435899925563e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.77962904753851,7.841985413934571,9.021563565547023,6.9430000000000005,1.0535223802457883e-12,1.5152578999986872,1.5617284000036307,0.009665499994298443,0.00031820000731386244,1.5157375000126194,0.03263659999356605,0.8021018999861553,0.25390229996992275,0.545362400036538,6,6,3.650985750369468e-13,2.2344057036270896e-12,1.5521343538604914e-06,direct,,,,,0.4916797000041697,0.4916785999957938,0.1018041999777779,0.013954199996078387,0.0005546000029426068,0.09917359999963082,0.2202980000001844,0.005587599996943027,0.0050534000038169324,,,2.0899127000011504,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0005_p_m30p9dbm_fp_7p043ghz\pump
warm,6,6,0,-30.88,7.043,3.409277019481606e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.796542523730295,7.858898890126359,9.071319709281296,6.9430000000000005,1.3705946946982323e-12,1.0609880999836605,1.1465430000098422,0.011430999991716817,0.00035719998413696885,1.0615617000148632,0.06951450000633486,0.5765872999909334,0.19800370000302792,0.3764023999683559,4,4,3.1864078768357107e-10,3.1862895777168124e-10,1.55528924965656e-06,direct,,,,,0.4195379000157118,0.4195373000111431,0.08819079998647794,0.014434900018386543,0.0006076999998185784,0.07998049998423085,0.18653629999607801,0.0041680000140331686,0.004485700017539784,,,1.6303388999949675,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0006_p_m30p88dbm_fp_7p043ghz\pump
warm,7,7,0,-30.86,7.043,3.4171362146850186e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.813736490846851,7.876092857242915,9.121442067016073,6.9430000000000005,1.3324320333352124e-12,0.7291306999977678,0.8038267999945674,0.006888499978231266,0.0003761000116355717,0.7301585999957751,0.060180600004969165,0.3716978000011295,0.12855699995998293,0.24193170000216924,3,3,3.2709629382047454e-14,2.118586260264272e-12,1.5582705091471515e-06,direct,,,,,0.48138250000192784,0.48138169999583624,0.12988389999372885,0.017111699999077246,0.0006464000034611672,0.10144470000523143,0.18442789997789077,0.004467800026759505,0.003821199992671609,,,1.315948599978583,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0007_p_m30p86dbm_fp_7p043ghz\pump
warm,8,8,0,-30.84,7.043,3.4250135272044867e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.830503745369393,7.892860111765455,9.171155695253386,6.9430000000000005,1.1781068819279437e-12,0.5955905999871902,0.6772530000016559,0.006798899994464591,0.00029299999005161226,0.5964041000115685,0.06913819999317639,0.3183484000037424,0.10154460000921972,0.21554330000071786,2,2,3.970202719756225e-11,3.974344296598477e-11,1.5611197564357365e-06,direct,,,,,0.5385864999843761,0.5385855000058655,0.1384431000042241,0.015009299997473136,0.000531600002432242,0.10770190000766888,0.22326510000857525,0.004211399995256215,0.005984899995382875,,,1.2711121000174899,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0008_p_m30p84dbm_fp_7p043ghz\pump
warm,9,9,0,-30.82,7.043,3.432908998804719e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.846190593284144,7.908546959680207,9.219770058518659,6.9430000000000005,1.28735245262721e-12,0.4366116000164766,0.48410979998880066,0.007224100001621991,0.0003307999868411571,0.4369889000081457,0.03591659999801777,0.24536709999665618,0.07619909997447394,0.16838680001092143,2,2,4.0963655945141314e-12,4.64966169574906e-12,1.5648714476722527e-06,direct,,,,,0.5169670000032056,0.5169657999940682,0.09357209998415783,0.01474050001706928,0.0004936000041197985,0.11077679999289103,0.2398821999959182,0.006369099981384352,0.0038997000083327293,,,1.0470040999935009,diagnostics\2c_measurement_comparison\raw_7043_boundary_fine\warm\points\point_0009_p_m30p82dbm_fp_7p043ghz\pump
