pass,point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,status,pump_status,gain_status,warm_started,warm_retry_reseed,pump_predictor,pump_failure_reason,gain_failure_reason,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_newton_total,pump_gmres_total,pump_coeff_rel,pump_time_rel,pump_branch_current_max,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,elapsed_s,pump_dir
warm,0,0,0,-30.24,7.043,3.669968115099554e-06,PASS,VALID_CONVERGED,VALID_SOLVED,False,False,none,,,7.901747417223028,7.964103783619091,9.898428211158517,6.9430000000000005,1.2971505694577402e-12,12.812102600000799,13.067070300021442,0.00972090000868775,0.1264618999848608,12.840858200012008,0.0815535000001546,7.488920200034045,2.029033999860985,4.6125250000623055,37,37,6.991117607137186e-10,6.991153801375596e-10,1.644002059718219e-06,adaptive_secant,3,True,,12.840855499991449,0.6290332000062335,0.6290301000117324,0.14416590001201257,0.015401999989990145,0.0005902999837417156,0.11036349998903461,0.2753101999987848,0.008348700008355081,0.005861000012373552,,,13.74003599997377,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0000_p_m30p24dbm_fp_7p043ghz\pump
warm,1,1,0,-30.235,7.043,3.6720813267407953e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,none,,,7.898190114866129,7.960546481262191,9.894869966080705,6.9430000000000005,1.2545484780677825e-12,0.7052943999879062,0.7974411000031978,0.009867999993730336,0.000536899984581396,0.7061209000239614,0.07571139998617582,0.36691300000529736,0.12486029998399317,0.24091240001143888,2,2,3.9787644669975024e-10,3.9788280085519607e-10,1.6448430803463102e-06,direct,,,,,0.5145129000011366,0.5145117999927606,0.08341690001543611,0.020653300016419962,0.0007125000120140612,0.10977820001426153,0.22862129998975433,0.008662800013553351,0.0058243999956175685,,,1.3632358000031672,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0001_p_m30p235dbm_fp_7p043ghz\pump
warm,2,2,0,-30.229999999999997,7.043,3.674195755194647e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.894457284333543,7.956813650729606,9.891044163872035,6.9430000000000005,1.493180970880304e-12,0.6517183000105433,0.7266672999830917,0.01128249999601394,0.00043220000225119293,0.6522775999910664,0.057158199982950464,0.34182800000417046,0.13479340003686957,0.205860499991104,2,2,3.374521894359455e-14,2.3284168649119703e-12,1.6456196536759605e-06,direct,,,,,0.5811463000136428,0.581144800002221,0.10819400000036694,0.01695079999626614,0.0009305999847128987,0.14655320000019856,0.24885390000417829,0.005894099973374978,0.007803399988915771,,,1.3611347999831196,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0002_p_m30p23dbm_fp_7p043ghz\pump
warm,3,3,0,-30.224999999999998,7.043,3.676311401161746e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.890546745067251,7.952903111463313,9.886949074881002,6.9430000000000005,1.462959864492848e-12,0.7212532999983523,0.8015747999888845,0.010894399980315939,0.000529199984157458,0.7224013000086416,0.061899399996036664,0.3871752000122797,0.14443949997075833,0.24132539998390712,2,2,3.349048517505326e-14,2.310129052931245e-12,1.6463320605489081e-06,direct,,,,,0.42472200002521276,0.42472160002216697,0.08913559999200515,0.014000099996337667,0.0005172999808564782,0.07734670001082122,0.1915224999829661,0.004197300004307181,0.005447600007755682,,,1.26213160000043,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0003_p_m30p225dbm_fp_7p043ghz\pump
warm,4,4,0,-30.22,7.043,3.6784282653431616e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.8864568630570915,7.948813229453155,9.882583489881505,6.9430000000000005,1.3442466993916046e-12,0.5108438000024762,0.5645512999908533,0.0094066999736242,0.00043429998913779855,0.5114517000038177,0.037729800009401515,0.23840249999193475,0.06847019999986514,0.1688638000341598,2,2,3.376529381897924e-14,2.2881534319670104e-12,1.6469810112960623e-06,direct,,,,,0.6360227999975905,0.6360216999892145,0.11182319998624735,0.019022699998458847,0.0005546000029426068,0.12386620001052506,0.30806109998957254,0.010018000000854954,0.009035900002345443,,,1.2445127999817487,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0004_p_m30p22dbm_fp_7p043ghz\pump
warm,5,5,0,-30.215,7.043,3.6805463484403493e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.882187773296864,7.944544139692928,9.877947782346228,6.9430000000000005,1.3943556040867198e-12,0.6316978000104427,0.7758555999898817,0.01303649999317713,0.0007400000176858157,0.632313999987673,0.12595379998674616,0.36111659999005497,0.12331709996215068,0.23664499996812083,2,2,3.33771527135361e-14,2.315370088391667e-12,1.6475676108716614e-06,direct,,,,,0.5059302000154275,0.5059291000070516,0.10070249999989755,0.018411600001854822,0.0006223999953363091,0.11124319999362342,0.2269772000145167,0.0047774999984540045,0.00411139999050647,,,1.3176814999897033,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0005_p_m30p215dbm_fp_7p043ghz\pump
warm,6,6,0,-30.21,7.043,3.6826656511551785e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.877741082792711,7.940097449188775,9.873043860228648,6.9430000000000005,1.2463392404585448e-12,0.5609322999953292,0.6326207999954931,0.007820300001185387,0.0003319999959785491,0.5613917000009678,0.05916949998936616,0.28242480001063086,0.09552319999784231,0.1858944999985397,2,2,3.349568183214007e-14,2.3700306187421938e-12,1.6480933234153811e-06,direct,,,,,0.40598519999184646,0.4059848000179045,0.0814595999836456,0.01690509999752976,0.0009208999981638044,0.08614400000078604,0.1791328999970574,0.003673899977002293,0.003118499997071922,,,1.075163400004385,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0006_p_m30p21dbm_fp_7p043ghz\pump
warm,7,7,0,-30.205,7.043,3.684786174189916e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.873118922683785,7.935475289079848,9.867874562754524,6.9430000000000005,1.4170456460647e-12,0.5708840999868698,0.636115700006485,0.006599400017876178,0.0002809000143315643,0.5713244999933522,0.053437599999597296,0.2769379000237677,0.11253870002110489,0.1634951000160072,2,2,3.3418296640474864e-14,2.3198309621109537e-12,1.6485599359990618e-06,direct,,,,,0.4557096000062302,0.4557092000031844,0.0874206000007689,0.022032499982742593,0.000840499997138977,0.10250139998970553,0.1916794000135269,0.004593699995893985,0.004652600007830188,,,1.1248856000020169,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0007_p_m30p205dbm_fp_7p043ghz\pump
warm,8,8,0,-30.2,7.043,3.6869079182472522e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.868323995628885,7.9306803620249475,9.862442658385945,6.9430000000000005,1.2151711440680817e-12,0.4396476999972947,0.510604399984004,0.006918099999893457,0.0002798000059556216,0.4402671999996528,0.058904699981212616,0.23414270000648685,0.06764349999139085,0.1654864999873098,2,2,3.3904418831573235e-14,2.466409018095867e-12,1.6489695225506563e-06,direct,,,,,0.5203122000093572,0.5203120000078343,0.12329409999074414,0.02109639998525381,0.0007375999994110316,0.11098389999824576,0.19215410001925193,0.0039954000094439834,0.0040911000105552375,,,1.0628791000053752,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0008_p_m30p2dbm_fp_7p043ghz\pump
warm,9,9,0,-30.195,7.043,3.689030884030247e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.8633608759291205,7.9257172423251845,9.85675284794845,6.9430000000000005,1.5383612331809415e-12,0.618716900004074,0.6699500000104308,0.007793700002366677,0.0003237999917473644,0.6192853999964427,0.03749230000539683,0.32886569999391213,0.1244703000120353,0.20316540001658723,2,2,3.3135917653702294e-14,2.3672924051424073e-12,1.6493244086988152e-06,direct,,,,,0.49615520000224933,0.49615500000072643,0.07551939997938462,0.021586699993349612,0.000824799994006753,0.12732329999562353,0.21431069998652674,0.004934500000672415,0.005740499997045845,,,1.2060427000105847,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0009_p_m30p195dbm_fp_7p043ghz\pump
warm,10,10,0,-30.189999999999998,7.043,3.691155072242397e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.858233859015337,7.9205902254114005,9.8508101187746,6.9430000000000005,1.3147989673769826e-12,0.6357115999853704,0.7790258999739308,0.010296499996911734,0.000301799998851493,0.6364489999832585,0.12429059998248704,0.333323599974392,0.1354587999812793,0.19661290000658482,2,2,3.375259254352391e-14,2.2264349793448638e-12,1.6496271381030596e-06,direct,,,,,0.5674981999909505,0.5674974999856204,0.11180939999758266,0.018193800002336502,0.0004881000204477459,0.10322940000332892,0.2599688000045717,0.007626600010553375,0.007873800001107156,,,1.386276299977908,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0010_p_m30p19dbm_fp_7p043ghz\pump
warm,11,11,0,-30.185,7.043,3.6932804835875837e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.852948237087844,7.915304603483909,9.844619839423451,6.9430000000000005,1.3897834365102339e-12,0.5719989000062924,0.647491900017485,0.009959700022591278,0.0007211000192910433,0.5728925000003073,0.05955999999423511,0.3000196000211872,0.10903880000114441,0.18989359997794963,2,2,3.3449586125178806e-14,2.1987083769892586e-12,1.649880440672003e-06,direct,,,,,0.5444331000035163,0.54443240002729,0.1284021000028588,0.019763599993893877,0.0008683000050950795,0.12056499999016523,0.21598740000627004,0.004479600000195205,0.007033600006252527,,,1.232386999996379,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0011_p_m30p185dbm_fp_7p043ghz\pump
warm,12,12,0,-30.18,7.043,3.6954071187701046e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.847509791129563,7.909866157525627,9.83818799635584,6.9430000000000005,1.2983932847226389e-12,0.4305422999896109,0.550411800009897,0.013012399984290823,0.000606099987635389,0.43096100000548176,0.1023235000029672,0.24334979997365735,0.06385679999948479,0.17847129996516742,2,2,3.368433317671708e-14,2.298657853724888e-12,1.6500872029297623e-06,direct,,,,,0.4630334999819752,0.4630323000019416,0.10902019997593015,0.016379800013964996,0.0006296999927144498,0.10797989999991842,0.18082149999099784,0.004868799995165318,0.004504400014411658,,,1.0484786999877542,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0012_p_m30p18dbm_fp_7p043ghz\pump
warm,13,13,0,-30.175,7.043,3.6975349784946573e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.8419244370831755,7.904280803479239,9.831521144198703,6.9430000000000005,1.2921527124249215e-12,0.5277270000078715,0.6410501999780536,0.008800899988273159,0.00029379999614320695,0.5285156999889296,0.0979611000220757,0.22936239998671226,0.06849969999166206,0.15983069999492727,2,2,3.3284093535868536e-14,2.204365273768279e-12,1.650250440665109e-06,direct,,,,,0.6025312000128906,0.6025308000098448,0.16242629999760538,0.018110499979229644,0.0006276000058278441,0.10116380002000369,0.2573487000190653,0.004626099980669096,0.005719799984944984,,,1.3022273999813478,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0013_p_m30p175dbm_fp_7p043ghz\pump
warm,14,14,0,-30.17,7.043,3.6996640634663544e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.836199304394417,7.898555670790479,9.82462655129278,6.9430000000000005,1.442325328878616e-12,0.6967891000094824,0.7711326999997254,0.009007799992104992,0.000613799988059327,0.6975396999914665,0.0571883000084199,0.3578904999885708,0.13123320002341643,0.2253766999929212,2,2,3.332967413448092e-14,2.242832159800956e-12,1.6503732738926082e-06,direct,,,,,0.5935461000190116,0.593544400006067,0.13242680000257678,0.019845800008624792,0.0008295000006910414,0.08591280001564883,0.28899319999618456,0.005076900008134544,0.010037499974714592,,,1.4558109999925364,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0014_p_m30p17dbm_fp_7p043ghz\pump
warm,15,15,0,-30.165,7.043,3.701794374390712e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.830340132784831,7.892696499180893,9.817510542883156,6.9430000000000005,1.6144402382906466e-12,0.6585523000103422,0.7362098000012338,0.010029299999587238,0.0003911999810952693,0.6589937999960966,0.06261599998106249,0.3535113999969326,0.12784770000143908,0.22440479998476803,2,2,3.323641608497464e-14,2.2292275565623162e-12,1.6504589040670536e-06,direct,,,,,0.5670813000178896,0.5670791000011377,0.10165489997598343,0.019292700017103925,0.0007437999884132296,0.13376270001754165,0.25013259999104775,0.00650730001507327,0.004538000008324161,,,1.3522226000204682,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0015_p_m30p165dbm_fp_7p043ghz\pump
warm,16,16,0,-30.16,7.043,3.70392591197363e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.824354484489263,7.886710850885324,9.81018101506836,6.9430000000000005,1.7754135244892986e-12,0.6470126000058372,0.7210499999928288,0.007096699991961941,0.0003142000059597194,0.6477193999744486,0.06144970000605099,0.31577780001680367,0.11743240000214428,0.19726339998305775,2,2,3.271692333646628e-14,2.3999170794612052e-12,1.6505105934225624e-06,direct,,,,,0.5808280000055674,0.5808265000232495,0.12440369999967515,0.02410589999635704,0.0006184999947436154,0.10793440000270493,0.24894630000926554,0.008309600001666695,0.0048525999882258475,,,1.3654281999915838,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0016_p_m30p16dbm_fp_7p043ghz\pump
warm,17,17,0,-30.155,7.043,3.706058676921456e-06,PASS,VALID_CONVERGED,VALID_SOLVED,True,False,secant,,,7.818248957225339,7.880605323621401,9.802645199970826,6.9430000000000005,1.5145617523387186e-12,0.3278708000143524,0.40395609999541193,0.007427900010952726,0.0003476000274531543,0.32862879999447614,0.06314379998366348,0.16720889997668564,0.05309810000471771,0.11341679998440668,1,1,9.85077119316381e-10,9.85075069115562e-10,1.650531665898131e-06,direct,,,,,0.6307298000028823,0.6307295000005979,0.13451309999800287,0.027468599990243092,0.0009518000006210059,0.12955979999969713,0.28490440000314265,0.006668499991064891,0.004275300016161054,,,1.0752903000102378,diagnostics\2c_measurement_comparison\raw_7043_boundary_ultrafine\warm\points\point_0017_p_m30p155dbm_fp_7p043ghz\pump
