Frequency_GHz,Insertion_Loss_dB
0.000000,-50.0000
0.020000,-50.4695
0.040000,-50.6656
0.060000,-50.8167
0.080000,-50.9446
0.100000,-51.0576
0.120000,-51.1600
0.140000,-51.2543
0.160000,-51.3424
0.180000,-51.4253
0.200000,-51.5038
0.220000,-51.5786
0.240000,-51.6503
0.260000,-51.7191
0.280000,-51.7854
0.300000,-51.8495
0.320000,-51.9116
0.340000,-51.9718
0.360000,-52.0304
0.380000,-52.0875
0.400000,-52.1431
0.420000,-52.1974
0.440000,-52.2506
0.460000,-52.3026
0.480000,-52.3535
0.500000,-52.4035
0.520000,-52.4525
0.540000,-52.5006
0.560000,-52.5479
0.580000,-52.5944
0.600000,-52.6402
0.620000,-52.6852
0.640000,-52.7296
0.660000,-52.7733
0.680000,-52.8164
0.700000,-52.8590
0.720000,-52.9009
0.740000,-52.9424
0.760000,-52.9833
0.780000,-53.0237
0.800000,-53.0636
0.820000,-53.1031
0.840000,-53.1421
0.860000,-53.1807
0.880000,-53.2189
0.900000,-53.2567
0.920000,-53.2940
0.940000,-53.3311
0.960000,-53.3677
0.980000,-53.4040
1.000000,-53.4400
1.020000,-53.4756
1.040000,-53.5110
1.060000,-53.5460
1.080000,-53.5807
1.100000,-53.6151
1.120000,-53.6492
1.140000,-53.6830
1.160000,-53.7166
1.180000,-53.7499
1.200000,-53.7830
1.220000,-53.8158
1.240000,-53.8483
1.260000,-53.8806
1.280000,-53.9127
1.300000,-53.9446
1.320000,-53.9762
1.340000,-54.0076
1.360000,-54.0388
1.380000,-54.0698
1.400000,-54.1006
1.420000,-54.1312
1.440000,-54.1616
1.460000,-54.1918
1.480000,-54.2218
1.500000,-54.2517
1.520000,-54.2813
1.540000,-54.3108
1.560000,-54.3401
1.580000,-54.3692
1.600000,-54.3982
1.620000,-54.4270
1.640000,-54.4557
1.660000,-54.4842
1.680000,-54.5125
1.700000,-54.5407
1.720000,-54.5687
1.740000,-54.5966
1.760000,-54.6243
1.780000,-54.6519
1.800000,-54.6794
1.820000,-54.7067
1.840000,-54.7339
1.860000,-54.7610
1.880000,-54.7879
1.900000,-54.8147
1.920000,-54.8414
1.940000,-54.8680
1.960000,-54.8944
1.980000,-54.9207
2.000000,-54.9469
2.020000,-54.9730
2.040000,-54.9989
