point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,warm_started,pump_status,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_coeff_rel,pump_time_rel,pump_newton_total,pump_gmres_total,pump_branch_current_max,pump_failure_reason,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,gain_status,signal_attenuation_db,status,elapsed_s,pump_dir,direct_wall_s,recovery_wall_s,route,tier2_substeps,tier2_terminal_reason,tier2_runtime_s,tier3_arclength_steps,tier3_fold_lambda,tier3_terminal_reason,tier3_runtime_s,tier4_anchor_found,tier4_anchor_search_runtime_s,tier4_anchor_freq_ghz,tier4_substeps,tier4_terminal_reason
0,0,0,-26.0,7.0,6.006814628268004e-06,False,VALID_CONVERGED,2.6578886000061175,2.786946199994418,0.012794600013876334,0.08480310000595637,2.65834690000338,0.027551999999559484,1.882556900018244,0.37895909998042043,1.1476507000334095,3.622296390866667e-14,2.3991168269044975e-12,9,9,1.0520919109327763e-06,,adaptive_secant,1,True,,2.6583389999868814,1.2311591978022682,2.387314827816837,1.5197345103138613,6.5,4.061322944343853e-12,0.33981730000232346,0.33981560000393074,0.05408739999984391,0.012686700007179752,0.0005210999952396378,0.06936100000166334,0.1512157999968622,0.003190500006894581,0.002942299994174391,,,VALID_SOLVED,79.32338219742809,PASS,3.144076699987636,g1_current_70\pass\points\point_0000_p_m26dbm_fp_7ghz\pump,3.144763599993894,0.0,DIRECT,,,,,,,,,,,,
1,1,0,-25.473684210526315,7.0,6.382047308678501e-06,True,VALID_CONVERGED,0.831751699995948,0.873626400003559,0.009586600004695356,0.0003581000055419281,0.83216910000192,0.027629999996861443,0.4487255000130972,0.17049080001015682,0.27629300000262447,4.2936698547737855e-12,4.929247512153178e-12,4,4,1.077309295450745e-06,,direct,,,,,0.9886579789072476,2.144813608921816,1.2102455424903216,6.5,4.3231687080454265e-12,0.39033460000064224,0.39033319998998195,0.05355520000739489,0.012042300004395656,0.0005030000029364601,0.0929381000023568,0.18443599999591243,0.004082899991772138,0.003331799991428852,,,VALID_SOLVED,79.32338219742809,PASS,1.2800898999994388,g1_current_70\pass\points\point_0001_p_m25p4737dbm_fp_7ghz\pump,1.451877700004843,0.0,DIRECT,,,,,,,,,,,,
2,2,0,-24.94736842105263,7.0,6.780719960714797e-06,True,VALID_CONVERGED,1.106097600000794,1.1489693000039551,0.011188000004040077,0.0003113000129815191,1.1065394000033848,0.027499000003444962,0.6198593000153778,0.24358420001226477,0.3741833999956725,2.071893875887365e-12,3.322907572307649e-12,5,5,1.0865379078473883e-06,,direct,,,,,1.1535365881742914,2.3096922181888617,1.309400898860198,6.5,4.112228067443601e-12,0.3194387999974424,0.3194386000104714,0.05436080000072252,0.012673499993979931,0.0004918000049656257,0.06701250000332948,0.14485700000659563,0.003145299997413531,0.0029399000050034374,,,VALID_SOLVED,79.32338219742809,PASS,1.4835688000021037,g1_current_70\pass\points\point_0002_p_m24p9474dbm_fp_7ghz\pump,1.4845127000007778,0.0,DIRECT,,,,,,,,,,,,
3,3,0,-24.42105263157895,7.0,7.204296828560585e-06,True,VALID_CONVERGED,0.003654100000858307,0.04337939999822993,0.01066020000143908,0.0002927000023191795,0.003699699998833239,0.025875200008158572,0.0,0.0,0.0,1.8372586629103036e-12,2.8663509399651605e-12,0,0,1.0878156319280688e-06,,direct,,,,,2.1038860556789283,3.260041685693498,2.2043663589060762,6.5,4.7983856514081724e-12,0.372139099999913,0.37213899999915157,0.07190510000509676,0.017497700013336726,0.000968100008321926,0.07349370000883937,0.16654160000325646,0.004720299999462441,0.0033957999985432252,,,VALID_SOLVED,79.32338219742809,PASS,0.4315987000009045,g1_current_70\pass\points\point_0003_p_m24p4211dbm_fp_7ghz\pump,1.7427569999999832,22.658931900004973,POWER_SUBSTEP,16,reached,22.226295100001153,,,,,,,,,
4,4,0,-23.894736842105264,7.0,7.654333624557583e-06,True,VALID_CONVERGED,0.012310199992498383,0.054896400004508905,0.009560000005876645,0.0002626000059535727,0.01236839999910444,0.029506399994716048,0.0,0.0,0.0,4.321727874315347e-13,2.5619426676801925e-12,0,0,1.086517876305153e-06,,direct,,,,,3.8153783913337707,4.97153402134834,3.879271220188169,6.5,6.061782896049979e-12,0.4114343999972334,0.41143409999494907,0.09111980001034681,0.014080599998123944,0.0004995000053895637,0.0832220000011148,0.16660819998651277,0.004087699999217875,0.00333360000513494,,,VALID_SOLVED,79.32338219742809,PASS,0.5689012000075309,g1_current_70\pass\points\point_0004_p_m23p8947dbm_fp_7ghz\pump,2.065652200006298,8.16707409999799,POWER_SUBSTEP,8,reached,7.597433600007207,,,,,,,,,
5,5,0,-23.36842105263158,7.0,8.132483243023025e-06,True,VALID_CONVERGED,0.003924599994206801,0.04571330000180751,0.011563699998077936,0.0002891999902203679,0.003970499994466081,0.027123699997900985,0.0,0.0,0.0,3.7921706217170264e-14,2.874754171958451e-12,0,0,1.0793680610551517e-06,,direct,,,,,5.719984349844851,6.8761399798594205,5.772189106983257,6.5,6.326811614082367e-12,0.378284899998107,0.37828479999734554,0.06671260000439361,0.012064000009559095,0.0004786999925272539,0.0744334000046365,0.1843105000007199,0.0031753000075696036,0.0030796000064583495,,,VALID_SOLVED,79.32338219742809,PASS,0.43885920000320766,g1_current_70\pass\points\point_0005_p_m23p3684dbm_fp_7ghz\pump,1.462787099997513,7.912363099996583,POWER_SUBSTEP,8,reached,7.472881900001084,,,,,,,,,
6,6,0,-22.842105263157894,7.0,8.640501830996808e-06,True,VALID_CONVERGED,1.7381253999919863,2.22980619998998,0.009432799997739494,0.00027120001323055476,1.7387027999939164,0.4769050999893807,0.9848177000385476,0.3495954999962123,0.6317432000068948,1.0955448665820878e-12,2.9996125453845037e-12,9,9,1.105732528098688e-06,,direct,,,,,7.19158592608717,8.347741556101742,7.255953103212434,6.5,7.527715905438176e-12,0.33260259999951813,0.3326024999987567,0.0475297000084538,0.013559200000599958,0.0004842999915126711,0.07441800000378862,0.15614500000083353,0.0035595999943325296,0.0036122000019531697,,,VALID_SOLVED,79.32338219742809,PASS,2.5777161000005435,g1_current_70\pass\points\point_0006_p_m22p8421dbm_fp_7ghz\pump,2.578706100001,0.0,DIRECT,,,,,,,,,,,,
7,7,0,-22.315789473684212,7.0,9.18025523821517e-06,True,FAIL,1.6859473000076832,1.7247255999973277,0.008706900000106543,0.0002677000011317432,1.6864101999963168,0.026161800007685088,0.8935938000067836,0.3218754999979865,0.5685243000043556,0.026341765373689863,,8,8,1.8952521095843751e-06,stalled at Newton 8 (reduction ratio 0.986),direct,,,,,,,,,,,,,,,,,,,,,ERROR,79.32338219742809,ERROR,1.7248717000038596,g1_current_70\pass\points\point_0007_p_m22p3158dbm_fp_7ghz\pump,1.7261820999992779,101.75480840000091,FAILED_NUMERICAL,6,step_floor,20.21598290000111,29,,deadline,60.29871180000191,True,4.638926699990407,6.995,7,step_floor
8,8,0,-21.789473684210527,7.0,9.753725870000128e-06,True,FAIL,0.8052839000010863,0.8497484999970766,0.008815399996819906,0.0002482999989297241,0.80535389999568,0.03227290000359062,0.4274886999919545,0.16195029999653343,0.2640632000111509,0.08748395821556593,,4,4,1.812119727559979e-06,stalled at Newton 4 (reduction ratio 0.940),direct,,,,,,,,,,,,,,,,,,,,,ERROR,79.32338219742809,ERROR,0.8498477999964962,g1_current_70\pass\points\point_0008_p_m21p7895dbm_fp_7ghz\pump,0.8515243000001647,16.25959899999725,PAST_CONNECTED_BRANCH_BOUNDARY,6,step_floor,16.25959359999979,,,,,,,,,
9,9,0,-21.263157894736842,7.0,1.0363019968234127e-05,True,FAIL,0.9008304000017233,0.9510456999996677,0.012069799995515496,0.00036130000080447644,0.900888499993016,0.034457799993106164,0.476658999978099,0.163363899991964,0.31171829999948386,0.15532454208996496,,4,4,2.199423258352688e-06,stalled at Newton 4 (reduction ratio 0.999),direct,,,,,,,,,,,,,,,,,,,,,ERROR,79.32338219742809,ERROR,0.9511687000049278,g1_current_70\pass\points\point_0009_p_m21p2632dbm_fp_7ghz\pump,0.9531902000016998,16.402864399991813,PAST_CONNECTED_BRANCH_BOUNDARY,6,step_floor,16.402857599998242,,,,,,,,,
