point_index,i_power,j_freq,pump_power_dbm,pump_freq_ghz,pump_current_peak_a,warm_started,pump_status,pump_runtime_s,pump_wall_runtime_s,pump_setup_runtime_s,pump_schur_setup_runtime_s,pump_solve_wall_runtime_s,pump_write_runtime_s,pump_factor_runtime_s,pump_preconditioner_assembly_runtime_s,pump_preconditioner_numeric_factor_runtime_s,pump_coeff_rel,pump_time_rel,pump_newton_total,pump_gmres_total,pump_branch_current_max,pump_failure_reason,pump_continuation_method,pump_continuation_steps,pump_continuation_reached_target,pump_continuation_fold_lambda,pump_continuation_runtime_s,gain_db,gain_vs_off_db,gain_vs_pumpdiag_db,signal_ghz,linear_rel_residual,gain_total_runtime_s,gain_wall_runtime_s,gain_gamma_hat_runtime_s,gain_khat_build_runtime_s,gain_khat_off_runtime_s,gain_matrix_assemble_runtime_s,gain_factor_solve_runtime_s,gain_baseline_off_runtime_s,gain_baseline_pumpdiag_runtime_s,spectrum_peak_gain_db,spectrum_peak_signal_ghz,gain_status,signal_attenuation_db,status,elapsed_s,pump_dir,direct_wall_s,recovery_wall_s,route,tier2_substeps,tier2_terminal_reason,tier2_runtime_s,tier3_arclength_steps,tier3_fold_lambda,tier3_terminal_reason,tier3_runtime_s,tier4_anchor_found,tier4_anchor_search_runtime_s
0,0,0,-26.0,7.9,5.461017217972103e-06,False,VALID_CONVERGED,4.091734100002213,4.255809599999338,0.023138300006394275,0.10487549999379553,4.092473499986227,0.0308841000078246,2.8958549999952083,0.6519854000216583,1.5739202999975532,5.113318482403184e-11,5.119494917771337e-11,11,11,1.185067656432851e-06,,adaptive_secant,1,True,,4.092462000000523,9.280625564983522,9.649984960581655,9.959620897284092,7.4,3.5117064430669095e-12,0.5512492999987444,0.5512465000065276,0.1685194000019692,0.01877319999039173,0.0011340999917592853,0.08282619999954477,0.22578759999305476,0.007754599995678291,0.004098299992620014,,,VALID_SOLVED,80.01297053576539,PASS,4.825766100009787,g1_current_79\pass\points\point_0000_p_m26dbm_fp_7p9ghz\pump,4.826790599996457,0.0,DIRECT,,,,,,,,,
1,1,0,-25.473684210526315,7.9,5.80215511805383e-06,True,VALID_CONVERGED,1.603419400009443,1.6608389000030002,0.018330899998545647,0.00034720000985544175,1.6038698999909684,0.03470770000421908,0.9212718999915523,0.3771092000097269,0.5412830999848666,3.843737704047029e-13,2.2912145019974655e-12,6,6,1.3206361578775266e-06,,direct,,,,,10.738243939192493,11.107603334790628,11.42623452889975,7.4,3.3281618333648935e-12,0.496306300003198,0.4963056999986293,0.0996889999951236,0.015431099993293174,0.0006218999915290624,0.10677929999656044,0.223188800009666,0.0040582000074209645,0.00655009999172762,,,VALID_SOLVED,80.01297053576539,PASS,2.17683080000279,g1_current_79\pass\points\point_0001_p_m25p4737dbm_fp_7p9ghz\pump,2.1777311000041664,0.0,DIRECT,,,,,,,,,
2,2,0,-24.94736842105263,7.9,6.1646031627894166e-06,True,VALID_CONVERGED,1.9599698999954853,2.0140853999910178,0.015466200013179332,0.0002884999994421378,1.9606245999893872,0.032577699996181764,1.1498172999999952,0.5125485999888042,0.6342399000131991,2.273242826135498e-11,2.289443305939993e-11,6,6,1.4074656429691975e-06,,direct,,,,,11.878969970939941,12.248329366538073,12.592147958084146,7.4,3.0936068788926845e-12,0.604947900006664,0.6049475000036182,0.09021300000313204,0.015752000006614253,0.0007174999918788671,0.10891139999148436,0.3442410999996355,0.0034731999912764877,0.0033900999987963587,,,VALID_SOLVED,80.01297053576539,PASS,2.6398184999998193,g1_current_79\pass\points\point_0002_p_m24p9474dbm_fp_7p9ghz\pump,2.6406816999951843,0.0,DIRECT,,,,,,,,,
3,3,0,-24.42105263157895,7.9,6.549692550691416e-06,True,VALID_CONVERGED,1.3562354000023333,1.429977299994789,0.01259669999126345,0.0003863000019919127,1.3570493000006536,0.05561640000087209,0.7650259999936679,0.2902649999887217,0.47253609998733737,2.8291186806380217e-10,2.829256274509384e-10,6,6,1.4780022565385548e-06,,direct,,,,,12.854924827088173,13.22428422268631,13.578809302836788,7.4,3.832908543132888e-12,0.529256699999678,0.5292562999966322,0.08164319999923464,0.01532500000030268,0.0005798000056529418,0.19249889999628067,0.19181249999383,0.0033610000100452453,0.004720099997939542,,,VALID_SOLVED,80.01297053576539,PASS,1.9777753999951528,g1_current_79\pass\points\point_0003_p_m24p4211dbm_fp_7p9ghz\pump,1.9788970000081463,0.0,DIRECT,,,,,,,,,
4,4,0,-23.894736842105264,7.9,6.958837637355967e-06,True,VALID_CONVERGED,1.857317600006354,1.9373632000060752,0.013692300010006875,0.0004794999986188486,1.8580936000071233,0.05854479999106843,1.002782199982903,0.4146961999795167,0.585042800012161,5.0898767455480345e-14,2.3946053871573677e-12,7,7,1.516427069204686e-06,,direct,,,,,14.058020395116086,14.427379790714223,14.759578284853882,7.4,4.701738832033124e-12,0.5470449999993434,0.547043600003235,0.11279529999592341,0.02312019999953918,0.0005423999973572791,0.11018899999908172,0.24025969998911023,0.0072893999895313755,0.007569299996248446,,,VALID_SOLVED,80.01297053576539,PASS,2.5113128000084544,g1_current_79\pass\points\point_0004_p_m23p8947dbm_fp_7p9ghz\pump,2.5125995999987936,0.0,DIRECT,,,,,,,,,
5,5,0,-23.36842105263158,7.9,7.3935411301054145e-06,True,VALID_CONVERGED,3.504181600001175,3.5885506000049645,0.01340619999973569,0.000790300007793121,3.5048663999914424,0.06319169999915175,1.9126913000072818,0.8511640000360785,1.0564780000131577,3.618609069833707e-14,2.543588533328541e-12,9,9,1.612376868379334e-06,,direct,,,,,14.412435816874343,14.781795212472478,15.061426650982785,7.4,4.758640665966715e-12,0.47683580000011716,0.47683430000324734,0.09981699999480043,0.01629150001099333,0.0006003000016789883,0.09624100000655744,0.20973119999689516,0.0035137000086251646,0.003842100006295368,,,VALID_SOLVED,80.01297053576539,PASS,4.089842799992766,g1_current_79\pass\points\point_0005_p_m23p3684dbm_fp_7p9ghz\pump,4.09064059999946,0.0,DIRECT,,,,,,,,,
6,6,0,-22.842105263157894,7.9,7.855399607128976e-06,True,VALID_CONVERGED,0.015277799990144558,0.06200890000036452,0.010318500004359521,0.00034610000147949904,0.015329000001656823,0.03297479999309871,0.0,0.0,0.0,2.1872028093934355e-11,2.200606545341929e-11,0,0,1.7410827857676468e-06,,direct,,,,,15.204003359537817,15.573362755135951,15.818286649262294,7.4,4.710966251391745e-12,0.4304314000037266,0.4304310000006808,0.08209999999962747,0.011685699995723553,0.0005057999951532111,0.08906499999284279,0.1987846999982139,0.0047596000076737255,0.005912900000112131,,,VALID_SOLVED,80.01297053576539,PASS,0.50856859999476,g1_current_79\pass\points\point_0006_p_m22p8421dbm_fp_7p9ghz\pump,1.7567055999970762,8.674897599994438,POWER_SUBSTEP,6,reached,7.743114299999434,,,,,,
7,7,0,-22.315789473684212,7.9,8.346109381392223e-06,True,VALID_CONVERGED,0.004563100010273047,0.051860799998394214,0.013320899990503676,0.0003800999984377995,0.00465740000072401,0.028463499998906627,0.0,0.0,0.0,3.1505629744222385e-14,2.1487060092752446e-12,0,0,1.8188270222612712e-06,,direct,,,,,11.869689662323132,12.239049057921267,12.325048416426966,7.4,5.840824982030635e-12,0.4324734999972861,0.4324729999934789,0.08007539999380242,0.018110700009856373,0.000629700007266365,0.10065959999337792,0.18449990000226535,0.00535160000436008,0.0033260000054724514,,,VALID_SOLVED,80.01297053576539,PASS,0.5036628999951063,g1_current_79\pass\points\point_0007_p_m22p3158dbm_fp_7p9ghz\pump,2.3900880000001052,9.362287099997047,POWER_SUBSTEP,6,reached,8.857493400006206,,,,,,
8,8,0,-21.789473684210527,7.9,8.867472730852202e-06,True,VALID_CONVERGED,0.0035791999980574474,0.05086420000588987,0.01285670000652317,0.00033799999800976366,0.0036225999938324094,0.029693499993300065,0.0,0.0,0.0,1.3450617741808531e-11,1.3683739836421856e-11,0,0,1.927973145057142e-06,,direct,,,,,12.786223426110796,13.155582821708933,13.230635857124733,7.4,4.977030157208898e-12,0.39132579999568406,0.39132510000490583,0.06095440000353847,0.012507299994467758,0.0012716999917756766,0.0848961000010604,0.18288170000596438,0.003364900010637939,0.004961699989507906,,,VALID_SOLVED,80.01297053576539,PASS,0.45919309998862445,g1_current_79\pass\points\point_0008_p_m21p7895dbm_fp_7p9ghz\pump,1.1815862000075867,14.490362299999106,POWER_SUBSTEP,10,reached,14.030411800005822,,,,,,
9,9,0,-21.263157894736842,7.9,9.421404517860606e-06,True,VALID_CONVERGED,0.023836399996071123,0.07341100000485312,0.01098400000773836,0.0006236000044737011,0.02391879999777302,0.0344660999980988,0.0,0.0,0.0,3.399283597108212e-14,2.2727510640871255e-12,0,0,2.2532840594205006e-06,,direct,,,,,4.218619987669179,4.587979383267314,4.434301492180081,7.4,6.591658836660586e-12,0.45378949999576434,0.45378919999348,0.10177269999985583,0.019461000003502704,0.0005511999916052446,0.08891560000483878,0.18414559999655467,0.003950500002247281,0.006380400009220466,,,VALID_SOLVED,80.01297053576539,PASS,0.5876831999921706,g1_current_79\pass\points\point_0009_p_m21p2632dbm_fp_7p9ghz\pump,2.4077436000079615,11.04335340000398,POWER_SUBSTEP,6,reached,10.454862999991747,,,,,,
10,10,0,-20.736842105263158,7.9,1.0009939222066676e-05,True,VALID_CONVERGED,0.007824499989510514,0.05555389999062754,0.009971500010578893,0.0006036999984644353,0.007881600002292544,0.03416589999687858,0.0,0.0,0.0,1.2322700680311012e-11,1.2543463397478452e-11,0,0,2.201819550961975e-06,,direct,,,,,14.349507940535027,14.718867336133163,14.465717977609494,7.4,7.45891069585563e-12,0.4876397000043653,0.48763940000208095,0.10061350000614766,0.01402639999287203,0.0005407999997260049,0.11101720000442583,0.21280910000496078,0.003181200008839369,0.003443399997195229,,,VALID_SOLVED,80.01297053576539,PASS,0.5608597999962512,g1_current_79\pass\points\point_0010_p_m20p7368dbm_fp_7p9ghz\pump,1.2226998999976786,7.175161799998023,POWER_SUBSTEP,6,reached,6.613417799992021,,,,,,
11,11,0,-20.210526315789473,7.9,1.0635238412650364e-05,True,VALID_CONVERGED,2.74565640000219,2.8048268999991706,0.013820300009683706,0.0004507999983616173,2.746318700010306,0.03994080000848044,1.5812122999777785,0.689847000001464,0.8865747999952873,2.6855506316792633e-14,2.48978465880366e-12,10,10,2.2464296010141534e-06,,direct,,,,,20.450942265207367,20.820301660805498,20.57166716935707,7.4,9.113702878043723e-12,0.5191769000084605,0.5191766000061762,0.07389939999848139,0.01610160000564065,0.0005237000004854053,0.10937960000592284,0.25851410000177566,0.003717800005688332,0.006091899995226413,,,VALID_SOLVED,80.01297053576539,PASS,3.3461109999916516,g1_current_79\pass\points\point_0011_p_m20p2105dbm_fp_7p9ghz\pump,3.347518599999603,0.0,DIRECT,,,,,,,,,
12,12,0,-19.684210526315788,7.9,1.1299598687329626e-05,True,VALID_CONVERGED,0.006225199991604313,0.05683349999890197,0.012290800004848279,0.00048299999616574496,0.006283900002017617,0.03268150000076275,0.0,0.0,0.0,3.6995630915659805e-10,3.699667817067727e-10,0,0,2.109022504215304e-06,,direct,,,,,24.314716405622047,24.684075801220185,24.535477920167818,7.4,1.0041088301177963e-11,0.5463869999948656,0.5463864000048488,0.13475320000725333,0.01428640000813175,0.0005619999865302816,0.09195280000858475,0.2446219999983441,0.004017200000816956,0.004942200001096353,,,VALID_SOLVED,80.01297053576539,PASS,0.6292546000040602,g1_current_79\pass\points\point_0012_p_m19p6842dbm_fp_7p9ghz\pump,1.6384057000104804,7.384618500000215,POWER_SUBSTEP,6,reached,6.75462009999319,,,,,,
13,13,0,-19.157894736842106,7.9,1.2005460107300248e-05,True,FAIL,1.138021699996898,1.2146527000004426,0.012784399994416162,0.0005524000007426366,1.1384799999941606,0.05948969999735709,0.6333901999751106,0.24908449999929871,0.38233569999283645,0.043070767227905954,,4,4,2.5721610166171556e-06,stalled at Newton 4 (reduction ratio 0.919),direct,,,,,,,,,,,,,,,,,,,,,ERROR,80.01297053576539,ERROR,1.2147564999904716,g1_current_79\pass\points\point_0013_p_m19p1579dbm_fp_7p9ghz\pump,1.2159396999923047,94.1139633999992,FAILED_NUMERICAL,10,step_floor,17.1972633000114,18,0.953230022273516,deadline,60.06424369999149,False,16.850527399990824
14,14,0,-18.63157894736842,7.9,1.2755415159088247e-05,True,FAIL,2.501961600006325,2.703330400006962,0.014119100000243634,0.14508590000332333,2.5020220000005793,0.038628199996310286,1.774415100022452,0.3398244999698363,0.9606152000196744,0.06104510346882716,,6,6,2.6260431048164165e-06,stalled at Newton 6 (reduction ratio 0.982),direct,,,,,,,,,,,,,,,,,,,,,ERROR,80.01297053576539,ERROR,2.703478299998096,g1_current_79\pass\points\point_0014_p_m18p6316dbm_fp_7p9ghz\pump,2.7040291000012076,20.493060399996466,PAST_CONNECTED_BRANCH_BOUNDARY,10,step_floor,20.493052999998326,,,,,,
15,15,0,-18.105263157894736,7.9,1.3552218276229458e-05,True,FAIL,2.3543925000121817,2.4355542000121204,0.012896600004751235,0.00033320000511594117,2.354472499995609,0.06326229999831412,1.2683065999735845,0.5439952000015182,0.7210609999747248,0.03913482180224674,,7,7,2.5408682198700563e-06,stalled at Newton 7 (reduction ratio 1.000),direct,,,,,,,,,,,,,,,,,,,,,ERROR,80.01297053576539,ERROR,2.4357136999897193,g1_current_79\pass\points\point_0015_p_m18p1053dbm_fp_7p9ghz\pump,2.4378520000027493,14.980777599994326,PAST_CONNECTED_BRANCH_BOUNDARY,10,step_floor,14.9807703000115,,,,,,
16,16,0,-17.578947368421055,7.9,1.4398795955748105e-05,True,FAIL,0.9833747999946354,1.0313485999940895,0.012789699991117232,0.0004881000058958307,0.9834529999934603,0.03129489999264479,0.5639552999928128,0.2574758999980986,0.3044250000093598,0.15280715432134542,,4,4,2.6398797224071216e-06,stalled at Newton 4 (reduction ratio 0.977),direct,,,,,,,,,,,,,,,,,,,,,ERROR,80.01297053576539,ERROR,1.03145979999681,g1_current_79\pass\points\point_0016_p_m17p5789dbm_fp_7p9ghz\pump,1.0334638000058476,13.271027199996752,PAST_CONNECTED_BRANCH_BOUNDARY,10,step_floor,13.271017600010964,,,,,,
17,17,0,-17.05263157894737,7.9,1.529825750658958e-05,True,FAIL,0.88810039999953,1.1007615000125952,0.010870700003579259,0.00030390000029001385,0.8881702999933623,0.19747220000135712,0.4634660999872722,0.17356480001762975,0.2880495999852428,0.23209684540969397,,4,4,2.655699607421965e-06,stalled at Newton 4 (reduction ratio 0.976),direct,,,,,,,,,,,,,,,,,,,,,ERROR,80.01297053576539,ERROR,1.100859699989087,g1_current_79\pass\points\point_0017_p_m17p0526dbm_fp_7p9ghz\pump,1.1028968999889912,12.843467700004112,PAST_CONNECTED_BRANCH_BOUNDARY,10,step_floor,12.843458499992266,,,,,,
18,18,0,-16.526315789473685,7.9,1.6253906469484708e-05,True,FAIL,0.7508166000043275,0.7985015000012936,0.012757199991028756,0.00028469999961089343,0.7508799000061117,0.0310200999956578,0.4041960000031395,0.12166390000493266,0.28135220002150163,0.30124400832182907,,3,3,2.6459461670048927e-06,line search failed at Newton 3,direct,,,,,,,,,,,,,,,,,,,,,ERROR,80.01297053576539,ERROR,0.7986177999991924,g1_current_79\pass\points\point_0018_p_m16p5263dbm_fp_7p9ghz\pump,0.8010604000010062,12.204921500000637,PAST_CONNECTED_BRANCH_BOUNDARY,10,step_floor,12.204914699992514,,,,,,
