theta,mu,source_current_a,max_abs_sin_phi,max_abs_phi,min_cos_phi,strongest_branch,state_norm,pump_node_flux,time_s
0.0,1.1299598687329626e-05,1.1299598687329626e-05,0.7518638411391109,0.8508844618709706,0.6593184089554469,1829,6.329023969844416,-9.866573179775453e-18,0.0
0.01,1.1299033725408067e-05,1.1299033725408067e-05,0.7520906362353205,0.8512285135419815,0.6590596899273623,1829,6.32859311421734,4.739422286615049e-17,2.0146195328088018e-13
0.02,1.129733889612964e-05,1.129733889612964e-05,0.7522485310026158,0.851468122124992,0.6588794636383855,1829,6.3282201288539675,1.0465172695721694e-16,4.0292390656176035e-13
0.03,1.1294514368951672e-05,1.1294514368951672e-05,0.752337038330831,0.8516024625034796,0.6587784003408079,1829,6.327905185922293,1.61899987308816e-16,6.043858598426404e-13
0.04,1.1290560426287041e-05,1.1290560426287041e-05,0.7523556566748604,0.851630724881984,0.658757137243567,1829,6.327648427457986,2.1913369812778551e-16,8.058478131235207e-13
0.05,1.1285477463475962e-05,1.1285477463475962e-05,0.752964512651299,0.8525554628675542,0.6580611238234574,1830,6.327449965633366,2.7634682449015133e-16,1.0073097664044009e-12
0.060000000000000005,1.127926598874644e-05,1.127926598874644e-05,0.7538249334084035,0.8538639516430857,0.6570753151441744,1830,6.327309882250142,3.3353395770042993e-16,1.208771719685281e-12
0.07,1.1271926623163482e-05,1.1271926623163482e-05,0.7546160301494557,0.8550687511820529,0.6561666305455314,1830,6.327228228387367,3.9068927980791106e-16,1.4102336729661612e-12
0.08,1.1263460100566999e-05,1.1263460100566999e-05,0.7553374584549227,0.856168906369718,0.6553360388799458,1830,6.327205024395677,4.478071085036482e-16,1.6116956262470414e-12
0.09,1.1253867267498442e-05,1.1253867267498442e-05,0.7559888660718661,0.8571634820810651,0.6545844745908462,1830,6.327240259732333,5.048818496323176e-16,1.8131575795279214e-12
0.09999999999999999,1.1243149083116177e-05,1.1243149083116177e-05,0.7565698920782544,0.8580515633374065,0.6539128370055893,1830,6.327333893020311,5.619077176427797e-16,2.0146195328088014e-12
0.10999999999999999,1.1231306619099578e-05,1.1231306619099578e-05,0.7570801660746289,0.8588322554671752,0.6533219896317682,1830,6.327485852066629,6.188790854291723e-16,2.2160814860896817e-12
0.11999999999999998,1.1218341059541915e-05,1.1218341059541915e-05,0.7575193074053337,0.8595046842720359,0.6528127594556832,1830,6.327696033767973,6.757902755427999e-16,2.4175434393705617e-12
0.12999999999999998,1.1204253700831942e-05,1.1204253700831942e-05,0.7578869244115116,0.8600679961994363,0.6523859362417768,1830,6.327964304412369,7.326355691099228e-16,2.6190053926514417e-12
0.13999999999999999,1.1189045951524313e-05,1.1189045951524313e-05,0.7581826137180663,0.8605213585227285,0.652042271831851,1830,6.328290500001893,7.894093270840307e-16,2.820467345932322e-12
0.15,1.1172719332198745e-05,1.1172719332198745e-05,0.7584059595567261,0.8608639595298911,0.6517824794429823,1830,6.328674426192386,8.461058489990423e-16,3.0219292992132024e-12
0.16,1.1155275475308023e-05,1.1155275475308023e-05,0.7587639034669512,0.8614133120800422,0.6513657488658696,1790,6.329115858643377,9.027194791913001e-16,3.223391252494083e-12
0.17,1.1136716125014763e-05,1.1136716125014763e-05,0.759108207800831,0.86194206327291,0.6509644605117936,1727,6.329614543470651,9.592445719258195e-16,3.424853205774963e-12
0.18000000000000002,1.1117043137017052e-05,1.1117043137017052e-05,0.7597803477074486,0.8629752151639113,0.6501798391503295,1727,6.330170197632846,1.0156754070143897e-15,3.6263151590558436e-12
0.19000000000000003,1.1096258478362929e-05,1.1096258478362929e-05,0.7603792289739641,0.8638968125001872,0.6494793515924582,1727,6.330782509598704,1.0720063458676345e-15,3.8277771123367235e-12
0.20000000000000004,1.1074364227253719e-05,1.1074364227253719e-05,0.760904787863494,0.8647063965646525,0.648863547910045,1727,6.331451139284221,1.1282317868656184e-15,4.029239065617604e-12
0.21000000000000005,1.1051362572836263e-05,1.1051362572836263e-05,0.7613569479742821,0.8654035308809751,0.6483329374413167,1727,6.33217571874457,1.184346054098255e-15,4.230701018898484e-12
0.22000000000000006,1.1027255814984055e-05,1.1027255814984055e-05,0.7617356197266416,0.8659878012534239,0.6478879884977566,1727,6.332955853459503,1.2403434944499217e-15,4.432162972179365e-12
0.23000000000000007,1.1002046364067312e-05,1.1002046364067312e-05,0.7620406998975597,0.8664588158191201,0.6475291280704192,1727,6.333791121958095,1.2962184983749993e-15,4.633624925460245e-12
0.24000000000000007,1.097573674071199e-05,1.097573674071199e-05,0.7622720712040023,0.8668162051132284,0.6472567415348878,1727,6.334681076452199,1.3519654408068079e-15,4.835086878741126e-12
