compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
0.0,15.12314846994957,0.0,2.0089434351589404e-34,3.0968627478034946e-32,0.0,1.1198147265604444e-23,14.941430648658073,15.123148469954975,1.23230559145346e-12,-0.074073689254206,5.28173355295868,1e-12,1.0,1.2675630445020317e-24,2.5344206963625398e-24,0.5001391625002384,2.2127350901611405e-15,-4.984457291357103e-11,0.05003986239186136,-0.2968704076265079,adaptive_first_point,1e-12,-196.02059991327963,-0.10759819289220592,-5.584585425795216,VALID_SOLVED
-1.2173604346799038e-09,15.123148471156878,0.0,-2.2572286429951884e-33,8.575079561818126e-32,0.0,-1.0969430525463665e-22,14.941430649875437,15.123148471172335,1.292029147230443e-12,-0.07407368945157694,5.281733553784037,1.691271714490637e-12,1.0,1.2675630446669756e-24,2.5344207253115038e-24,0.5001391568525705,9.483150386401252e-16,-1.1875656014126434e-10,0.050039862393756844,-0.2968704076237662,previous,1.691271714490637e-12,-191.45633220101325,-0.10759819309887679,-5.584585426574226,VALID_SOLVED
-7.449614258803194e-10,15.123148470655721,0.0,-2.2620089067942868e-32,2.2911806457867018e-31,0.0,-1.0799463776675791e-21,14.941430649403038,15.123148470699936,1.3521571691057407e-12,-0.07407368987475561,5.281733553515287,2.860400012236098e-12,1.0,1.2675630449494832e-24,2.534420807744271e-24,0.5001391406968686,3.793260154557204e-15,-3.397300218921373e-10,0.05003986239982911,-0.2968704076149755,previous,2.860400012236098e-12,-186.89206448874685,-0.1075981932281147,-5.584585426267895,VALID_SOLVED
-1.1036505043193756e-11,15.123148469839538,0.0,-5.546922066068904e-32,6.646025969867716e-31,0.0,-2.651948386957954e-21,14.941430648669112,15.123148469966011,2.360642130211889e-12,-0.07407369070188984,5.281733553054878,4.8377136328235846e-12,1.0,1.2675630457730867e-24,2.5344210435505544e-24,0.5001390944881501,8.376782841293047e-15,-9.717542326370676e-10,0.050039862417204865,-0.29687040758983135,previous,4.8377136328235846e-12,-182.32779677648045,-0.10759819317118437,-5.5845854257969405,VALID_SOLVED
1.8260077894183269e-09,15.123148467767198,1.0,-1.6536322193521058e-31,1.8943302131603436e-30,0.08729376789030477,-7.903375988507051e-21,14.941430646832066,15.123148468128967,5.875748062226689e-12,-0.07407369164072494,5.281733551852133,8.181888230000271e-12,1.0,1.2675630481333721e-24,2.534421718055362e-24,0.5001389623136442,2.5288401030139672e-15,-2.7795614698788995e-09,0.05003986246691618,-0.29687040751790855,previous,8.181888230000271e-12,-177.76352906421408,-0.10759819151112211,-5.584585424647359,VALID_SOLVED
6.3367266989189375e-09,15.123148462583448,1.0,-4.8671616276302825e-31,5.404830957782872e-30,0.0900520601966588,-2.325679632515857e-20,14.941430642321347,15.123148463618248,1.6460669038423592e-11,-0.07407369467625523,5.2817335489086235,1.383779613452332e-11,1.0,1.2675630548704103e-24,2.5344236473943313e-24,0.5001385842393026,1.422472557916545e-15,-7.950685443347538e-09,0.05003986260909562,-0.2968704073121805,previous,1.383779613452332e-11,-173.1992613519477,-0.10759818718187124,-5.584585421829531,VALID_SOLVED
1.9589469602010467e-08,15.123148447405557,1.0,-1.416478841492419e-30,1.543570256043718e-29,0.09176639909627154,-6.767428634981348e-20,14.941430629068604,15.123148450365505,4.695174012065937e-11,-0.07407370328159395,5.281733540270863,2.340347319320716e-11,1.0,1.2675630741636755e-24,2.5344291660985077e-24,0.5001375028030308,1.1537832969098846e-14,-2.2742142391507514e-08,0.050039863015787465,-0.29687040672371645,previous,2.340347319320716e-11,-168.6349936396813,-0.10759817473403997,-5.584585413545359,VALID_SOLVED
8.441786647495064e-08,15.123148377070475,1.0,-4.94750259597117e-32,4.8154504108487515e-29,0.0010274226030497413,8.0975499111124e-24,14.94143056424021,15.123148385537108,1.2883797967708265e-12,-0.07407375037223378,5.281733497782735,3.958163223251114e-11,1.0,1.2675630279630467e-24,2.5344447498908406e-24,0.5001344093287656,8.692887853129602e-15,-7.809875057773752e-08,0.05003986453782181,-0.2968704045214061,previous,3.958163223251114e-11,-164.0707259274149,-0.1075981112818242,-5.584585373071059,VALID_SOLVED
2.427071006394499e-07,15.12314820302991,1.0,-1.4128850301976035e-31,1.3774136873998399e-28,0.0010257521346870911,3.373662735744491e-23,14.941430405950975,15.123148227247874,1.1811079168030354e-12,-0.07407386266828256,5.2817333941559435,6.694329500821697e-11,1.0,1.2675629971784423e-24,2.5344895276573246e-24,0.5001255611223906,4.10936516598814e-15,-2.233936395867886e-07,0.05003986853271721,-0.29687039874098636,previous,6.694329500821697e-11,-159.50645821514854,-0.10759795766522529,-5.5845852742210775,VALID_SOLVED
6.955319769019752e-07,15.123147705149947,1.0,-4.078442251123755e-31,3.939916671736256e-28,0.0010351595200937215,-7.919258511265006e-23,14.941429953126097,15.123147774422998,1.1860544083289827e-12,-0.07407418389950979,5.281733097707105,1.132193013221996e-10,1.0,1.2675629091273657e-24,2.5346176099671975e-24,0.5001002534436626,3.0029976193218827e-15,-6.389951412444361e-07,0.050039879959714886,-0.2968703822066738,previous,1.132193013221996e-10,-154.94219050288217,-0.10759751827902005,-5.5845849914352605,VALID_SOLVED
