variant,g0_estimator,window,crossing,band,gain_floor_db,n,slope_db_per_db,slope_se_db_per_db,intercept_dbm,fit_rms_db,gain_min_db,gain_max_db
baseline,median_plateau,11,current_last,full,8.0,703,-3.0429245066043573,0.08671445940372403,-53.606076832089684,3.0580439287886048,8.00541371945287,15.91925824591846
g0_lowest_point,lowest_point,11,current_last,full,8.0,706,-3.016236928622536,0.1739875479106695,-54.859208826080476,6.26158823524255,8.00351493682378,15.898246759671332
g0_lowest_five_mean,lowest_five_mean,11,current_last,full,8.0,708,-3.0553548216494977,0.09776732798704811,-53.606526769454305,3.491470212469173,8.016083472036508,15.782797677275065
window_7,median_plateau,7,current_last,full,8.0,700,-3.0369223722461975,0.0862233743629741,-53.831248269238756,3.0135584145953405,8.002617539280958,15.8971255007143
window_21,median_plateau,21,current_last,full,8.0,703,-3.186206104953271,0.10331678037880682,-50.58962817666965,3.641916179094498,8.001607376541267,15.903616903126277
first_downward,median_plateau,11,first_downward,full,8.0,703,-2.116039944191808,0.06961570495600175,-64.71787275491387,2.4550448143588066,8.00541371945287,15.91925824591846
band_below_pump,median_plateau,11,current_last,below_pump,8.0,379,-3.352294234599286,0.1092076624834411,-49.18110363987658,2.9743673242290316,8.00541371945287,15.91925824591846
band_above_pump,median_plateau,11,current_last,above_pump,8.0,324,-2.5798505943208556,0.10944701871154394,-59.85144232410383,2.4433657777008726,8.006316255259462,14.123929113550155
gain_floor_4db,median_plateau,11,current_last,full,4.0,828,-2.665162990720337,0.06245010982849406,-57.75825999982195,3.0680772409338393,5.993825066300715,15.91925824591846
gain_floor_12db,median_plateau,11,current_last,full,12.0,99,-6.780334469517924,0.5244467451348908,-6.964219178765163,3.288821778026332,12.000099577778588,15.91925824591846
