compression_db,compression_model_depletion_only,external_manley_rowe_evaluable,external_manley_rowe_photon_flux,external_manley_rowe_photon_scale,external_manley_rowe_rel_err,external_supplied_power,gain_db,gain_vs_off_db,hb_residual_rel,idler_s21_imag,idler_s21_real,last_converged_signal_current_a,manley_rowe_evaluable,manley_rowe_photon_flux,manley_rowe_photon_scale,manley_rowe_rel_err,power_balance_rel_err,pump_depletion_db,pump_s21_imag,pump_s21_real,recovery_rung,signal_current_a,signal_power_dbm,signal_s21_imag,signal_s21_real,status
0.0,4.4678831286457585,1.0,2.7973707585796947e-31,2.3252658521578613e-29,0.01203032657957677,-1.091576025396023e-21,4.253048948288446,4.467883133293019,1.273787281285666e-12,-1.0469745636275938,1.1967312720095173,1e-10,1.0,1.2676864669148479e-24,2.5346825235663064e-24,0.5001361926507502,9.167042781430345e-15,-8.285651276196404e-09,0.05004222876758572,-0.29687020873573955,adaptive_first_point,1e-10,-156.02059991327963,0.5342433487480359,-1.541809881962223,VALID_SOLVED
6.022181802123328e-07,4.467882515206546,1.0,1.0197743741086338e-30,7.946192002264721e-29,0.012833497778784994,-6.876166857180579e-22,4.253048346070265,4.467882531074839,1.2785032272535987e-12,-1.0469746328199991,1.1967309656729852,1.8478497974222944e-10,1.0,1.2676867108341277e-24,2.5347107457628943e-24,0.5001307202225084,1.0273409991745779e-14,-2.832775258809761e-08,0.05004225462301115,-0.2968702036729202,previous,1.8478497974222944e-10,-150.68726657994628,0.5342435302156138,-1.5418096993500274,VALID_SOLVED
2.6585692216585244e-06,4.467880420540763,1.0,3.511727338063833e-30,2.713560645206957e-28,0.012941399869823074,-9.634507998903049e-22,4.253046289719224,4.467880474723797,1.2241729555952921e-12,-1.0469748691063527,1.1967299196462906,3.414548873833601e-10,1.0,1.2676875437161873e-24,2.5348071117452278e-24,0.5001120352875205,1.1063672218176159e-14,-9.67621769376592e-08,0.050042342907610594,-0.296870186385672,previous,3.414548873833601e-10,-145.35393324661297,0.5342441498238779,-1.5418090758095933,VALID_SOLVED
9.680070962581055e-06,4.467873268211741,1.0,1.2039985657851437e-29,9.266051998813733e-28,0.012993652161020499,-9.836749007139439e-22,4.253039268217482,4.467873453222056,1.2374150476961945e-12,-1.0469756759050832,1.1967263479472292,6.309573444801942e-10,1.0,1.2676903876192534e-24,2.5351361569783067e-24,0.5000482455862433,3.6352064955149416e-15,-3.3043163583101887e-07,0.050042644359473365,-0.29687012735746293,previous,6.309573444801942e-10,-140.02059991327963,0.5342462655077084,-1.5418069466994622,VALID_SOLVED
3.365530320387222e-05,4.467848846266566,1.0,4.1164348761575104e-29,3.163964389520805e-27,0.013010370438401048,-8.045937559097432e-22,4.253015292985243,4.467849477989815,1.2594338319696057e-12,-1.0469784306917973,1.1967141522254543,1.1659144011798312e-09,1.0,1.267700097913311e-24,2.536259684714927e-24,0.4998305597621796,9.799251459652476e-15,-1.128269904171475e-06,0.05004367367900131,-0.2968699258021216,previous,1.1659144011798312e-09,-134.6872665799463,0.5342534895640744,-1.5417996767446678,VALID_SOLVED
0.00011551932407716237,4.467765456960075,1.0,1.406057631696083e-28,1.0803237554701489e-26,0.013015150547015205,1.3153088864214024e-22,4.252933428964369,4.467767613968942,1.6604612646958144e-12,-1.046987836208914,1.1966725096976858,2.1544346900318866e-09,1.0,1.267733250304044e-24,2.5400958703154335e-24,0.499088741145276,1.090561539601667e-14,-3.852090120659568e-06,0.05004718831063497,-0.29686923757413797,previous,2.1544346900318866e-09,-129.35393324661294,0.534278155921925,-1.5417748531147877,VALID_SOLVED
0.00039504128326672827,4.4674807272759995,1.0,4.800742223898922e-28,3.688440259625831e-26,0.013015643160737887,6.209662093654825e-21,4.252653907005179,4.467488092009752,1.1705220569299162e-11,-1.0470199421055744,1.1965303234139473,3.981071705534969e-09,1.0,1.2678464053831188e-24,2.5531929090766547e-24,0.49657289931986653,7.112350821545044e-15,-1.31476064506586e-05,0.050059188839941655,-0.2968668874995537,previous,3.981071705534969e-09,-124.02059991327963,0.5343623741304855,-1.5416900914583709,VALID_SOLVED
0.001349391083697249,4.466508600542865,1.0,1.6372810624620522e-27,1.2589794007800177e-25,0.01300482804919328,-7.108791515829033e-22,4.2516995572047485,4.466533742209322,1.2593119044843241e-12,-1.047129472103753,1.1960448717243697,7.356422544596422e-09,1.0,1.2682323238751548e-24,2.5978925029375354e-24,0.4881773677860483,9.325050649119271e-15,-4.482010895756616e-05,0.05010016321218385,-0.29685886197736616,previous,7.356422544596422e-09,-118.68726657994628,0.5346498613912164,-1.5414006717248125,VALID_SOLVED
0.004607054312024239,4.463190296501434,1.0,5.572142586647877e-27,4.293571460873606e-25,0.012977873170216484,-1.0080151083108605e-21,4.248441893976423,4.463276078980995,1.2081941461901056e-12,-1.0475022644164032,1.1943878531995848,1.3593563908785241e-08,1.0,1.2695444104648405e-24,2.7502774563879335e-24,0.4616059399811217,1.9598185266624e-14,-0.0001522168846932459,0.050240039301622685,-0.2968314461895942,previous,1.3593563908785241e-08,-113.35393324661297,0.5356305985494919,-1.5404124487004354,VALID_SOLVED
0.015718665784782537,4.451872314441788,1.0,1.880910863102278e-26,1.4599244349261963e-24,0.012883617933262169,-1.1701900321947367e-21,4.237330282503662,4.452164467508236,1.129313667711538e-12,-1.0487612101443569,1.1887366920169065,2.511886431509582e-08,1.0,1.2739583073310458e-24,3.267765690374165e-24,0.38985607538622985,5.057397022323828e-15,-0.0005101849902082733,0.05071727166863676,-0.296737690928508,previous,2.511886431509582e-08,-108.02059991327963,0.5389688283562201,-1.5370383250412811,VALID_SOLVED
