signal_ghz,window,g0_measurement_pipeline_db,p1db_refined_dbm,p1db_measurement_pipeline_dbm,difference_measurement_minus_refined_db,gain_refined_db
5.8,11,4.256659869741441,-89.64559991327963,-93.72819984691402,-4.082599933634398,4.467883133293019
6.03,11,7.090554942684833,-90.64559991327963,-95.74976102324312,-5.104161109963499,7.303655948183838
6.257,11,8.447170786929124,-90.72893324661295,-95.81461780683631,-5.085684560223356,8.788233915751558
6.49,11,11.739492711242043,-92.89559991327963,-97.03919582093273,-4.143595907653108,12.869660230822157
6.71,11,13.099482629984447,-93.47893324661297,-97.19377842926299,-3.7148451826500235,13.609190634932698
6.943,11,13.581614190789132,-92.56226657994628,-96.73209027834035,-4.169823698394069,13.636479953032588
7.29,11,15.209542655526826,-93.64559991327963,-97.34676861722755,-3.7011687039479284,15.51952823465637
7.629,11,15.480628527284015,-94.14559991327963,-97.4828942372663,-3.3372943239866686,16.23655164403793
5.8,3,4.253039268217484,-89.64559991327963,-90.28413903672606,-0.638539123446435,4.467883133293019
6.03,3,7.085822844562033,-90.64559991327963,-91.12429040989588,-0.4786904966162524,7.303655948183838
6.257,3,8.442370224055386,-90.72893324661295,-91.14781748681573,-0.4188842402027717,8.788233915751558
6.49,3,11.731662096877974,-92.89559991327963,-93.24753391790422,-0.3519340046245958,12.869660230822157
6.71,3,13.090367303524562,-93.47893324661297,-94.00130074004831,-0.5223674934353397,13.609190634932698
6.943,3,13.574103283215276,-92.56226657994628,-92.86607585605351,-0.30380927610723063,13.636479953032588
7.29,3,15.200975426148014,-93.64559991327963,-94.20596795634113,-0.5603680430615015,15.51952823465637
7.629,3,15.472621081770894,-94.14559991327963,-94.61138382472697,-0.4657839114473461,16.23655164403793
