frequency_ghz,signal_power_dbm,gain_db,compression_db,observed_pump_depletion_db_port2,required_depletion_db,observed_minus_required_db,converted_fraction_relative_port2_pump,pump_port_reference_power_w,status
5.8,-156.02059991327963,4.467883133293019,0.0,-8.285651276196404e-09,5.1273798330210595e-08,-5.9559449606407e-08,1.9078416624296324e-09,1.184805698559986e-10,VALID_SOLVED
5.8,-150.68726657994628,4.467882531074839,6.022181802123328e-07,-2.832775258809761e-08,1.7507688816410452e-07,-2.0340464075220213e-07,6.522706041955928e-09,1.184805698559986e-10,VALID_SOLVED
5.8,-145.35393324661297,4.467880474723797,2.6585692216585244e-06,-9.67621769376592e-08,5.978085622891687e-07,-6.945707392268279e-07,2.2280314371236898e-08,1.184805698559986e-10,VALID_SOLVED
5.8,-140.02059991327963,4.467873453222056,9.680070962581055e-06,-3.3043163583101887e-07,2.0412462155447325e-06,-2.3716778513757513e-06,7.608469299036358e-08,1.184805698559986e-10,VALID_SOLVED
5.8,-134.6872665799463,4.467849477989815,3.365530320387222e-05,-1.128269904171475e-06,6.9699310115033204e-06,-8.098200915674796e-06,2.5979371243156635e-07,1.184805698559986e-10,VALID_SOLVED
5.8,-129.35393324661294,4.467767613968942,0.00011551932407716237,-3.852090120659568e-06,2.3799123973747745e-05,-2.7651214094407313e-05,8.869761355390082e-07,1.184805698559986e-10,VALID_SOLVED
5.8,-124.02059991327963,4.467488092009752,0.00039504128326672827,-1.31476064506586e-05,8.126273434783598e-05,-9.441034079849458e-05,3.027343679740113e-06,1.184805698559986e-10,VALID_SOLVED
5.8,-118.68726657994628,4.466533742209322,0.001349391083697249,-4.482010895756616e-05,0.0002774693101498537,-0.00032228941910741985,1.0320158221999165e-05,1.184805698559986e-10,VALID_SOLVED
5.8,-113.35393324661297,4.463276078980995,0.004607054312024239,-0.0001522168846932459,0.0009473594518564394,-0.0010995763365496854,3.504861874248366e-05,1.184805698559986e-10,VALID_SOLVED
5.8,-108.02059991327963,4.452164467508236,0.015718665784782537,-0.0005101849902082733,0.003233953618212724,-0.0037441386084209973,0.0001174675354610466,1.184805698559986e-10,VALID_SOLVED
5.8,-102.68726657994631,4.414361739538829,0.05352139375419007,-0.0016319120173644563,0.011032579920557577,-0.012664491937922033,0.0003756910388673651,1.184805698559986e-10,VALID_SOLVED
5.8,-97.35393324661295,4.286911694931415,0.18097143836160345,-0.0043426785301292625,0.037556316662366133,-0.041898995192495396,0.0009994389126218861,1.184805698559986e-10,VALID_SOLVED
5.8,-92.02059991327963,3.8709502698117677,0.5969328634812512,-0.002406232165036215,0.1269211452857632,-0.12932737745079942,0.0005539019709821513,1.184805698559986e-10,VALID_SOLVED
5.8,-86.68726657994628,2.632947703305058,1.834935429987961,0.09220659094302341,0.41890471333320156,-0.32669812239017815,-0.021458340915485374,1.184805698559986e-10,VALID_SOLVED
5.8,-81.35393324661295,0.3073008615365516,4.160582271756467,0.5746912880667683,1.289684122177079,-0.7149928341103107,-0.14148216113113632,1.184805698559986e-10,VALID_SOLVED
5.8,-76.02059991327963,1.074101751430094,3.393781381862925,0.8426454229954796,3.3858055802080016,-2.543160157212522,-0.2141281885714943,1.184805698559986e-10,VALID_SOLVED
6.03,-156.02059991327963,7.303655948183838,0.0,-6.887028369817472e-08,9.850828779526736e-08,-1.6737857149344207e-07,1.58579687159488e-08,1.184805698559986e-10,VALID_SOLVED
6.03,-150.68726657994628,7.303655158270646,7.899131917454838e-07,-2.3519688063800004e-07,3.363613543005026e-07,-5.715582349385026e-07,5.415608161918328e-08,1.184805698559986e-10,VALID_SOLVED
6.03,-145.35393324661297,7.303652461121246,3.487062592455459e-06,-8.031265252839148e-07,1.1485221761933288e-06,-1.9516487014772434e-06,1.8492669939806916e-07,1.184805698559986e-10,VALID_SOLVED
6.03,-140.02059991327963,7.303643251540893,1.2696642945009273e-05,-2.742342351425009e-06,3.92168385276137e-06,-6.664026204186379e-06,6.314474624291577e-07,1.184805698559986e-10,VALID_SOLVED
6.03,-134.6872665799463,7.303611805115886,4.414306795208489e-05,-9.363799849282373e-06,1.3390766585405074e-05,-2.2754566434687447e-05,2.1560922702779095e-06,1.184805698559986e-10,VALID_SOLVED
6.03,-129.35393324661294,7.3035044311533825,0.0001515170304555724,-3.197204404159493e-05,4.572325676178826e-05,-7.769530080338319e-05,7.361808102013256e-06,1.184805698559986e-10,VALID_SOLVED
6.03,-124.02059991327963,7.303137813802505,0.0005181343813331907,-0.0001091568042053126,0.00015612231052222612,-0.0002652791147275387,2.5133967152757286e-05,1.184805698559986e-10,VALID_SOLVED
6.03,-118.68726657994628,7.301886220160786,0.0017697280230519752,-0.0003725529391616078,0.0005330641253677533,-0.0009056170645293611,8.577980510859895e-05,1.184805698559986e-10,VALID_SOLVED
6.03,-113.35393324661297,7.297615161552019,0.00604078663181884,-0.0012701837885327194,0.0018199038527753504,-0.00309008764130807,0.00029242786031968837,1.184805698559986e-10,VALID_SOLVED
6.03,-108.02059991327963,7.283061458043594,0.02059449014024395,-0.004314849802884879,0.006211009430073939,-0.010525859232958817,0.0009930374950672949,1.184805698559986e-10,VALID_SOLVED
