idx,name,node1,node2,value,kind
1,P1_0,1,0,1,port
2,R1_0,1,0,50.0,resistor
3,C1_0,1,0,1.73e-14,capacitor
4,L1_2,1,2,4.13e-11,linear_inductor
5,C2_0,2,0,1.73e-14,capacitor
6,L2_3,2,3,4.13e-11,linear_inductor
7,C3_0,3,0,1.73e-14,capacitor
8,L3_4,3,4,4.13e-11,linear_inductor
9,C4_0,4,0,1.73e-14,capacitor
10,L4_5,4,5,4.13e-11,linear_inductor
11,C5_0,5,0,1.73e-14,capacitor
12,L5_6,5,6,4.13e-11,linear_inductor
13,C6_0,6,0,1.73e-14,capacitor
14,L6_7,6,7,4.13e-11,linear_inductor
15,C7_0,7,0,1.73e-14,capacitor
16,L7_8,7,8,4.13e-11,linear_inductor
17,C8_0,8,0,1.73e-14,capacitor
18,L8_9,8,9,4.13e-11,linear_inductor
19,C9_0,9,0,1.73e-14,capacitor
20,L9_10,9,10,4.13e-11,linear_inductor
21,C10_0,10,0,1.73e-14,capacitor
22,L10_11,10,11,4.13e-11,linear_inductor
23,C11_0,11,0,1.73e-14,capacitor
24,L11_12,11,12,4.13e-11,linear_inductor
25,C12_0,12,0,1.73e-14,capacitor
26,L12_13,12,13,4.13e-11,linear_inductor
27,C13_0,13,0,1.73e-14,capacitor
28,L13_14,13,14,4.13e-11,linear_inductor
29,C14_0,14,0,1.73e-14,capacitor
30,L14_15,14,15,4.13e-11,linear_inductor
31,C15_0,15,0,1.73e-14,capacitor
32,L15_16,15,16,4.13e-11,linear_inductor
33,C16_0,16,0,1.73e-14,capacitor
34,L16_17,16,17,4.13e-11,linear_inductor
35,C17_0,17,0,1.73e-14,capacitor
36,L17_18,17,18,4.13e-11,linear_inductor
37,C18_0,18,0,1.73e-14,capacitor
38,L18_19,18,19,4.13e-11,linear_inductor
39,C19_0,19,0,1.73e-14,capacitor
40,L19_20,19,20,4.13e-11,linear_inductor
41,C20_0,20,0,1.73e-14,capacitor
42,L20_21,20,21,4.13e-11,linear_inductor
43,C21_0,21,0,1.73e-14,capacitor
44,L21_22,21,22,4.13e-11,linear_inductor
45,C22_0,22,0,1.73e-14,capacitor
46,L22_23,22,23,4.13e-11,linear_inductor
47,C23_0,23,0,1.73e-14,capacitor
48,L23_24,23,24,4.13e-11,linear_inductor
49,C24_0,24,0,1.73e-14,capacitor
50,L24_25,24,25,4.13e-11,linear_inductor
51,C25_0,25,0,1.73e-14,capacitor
52,L25_26,25,26,4.13e-11,linear_inductor
53,C26_0,26,0,1.73e-14,capacitor
54,L26_27,26,27,4.13e-11,linear_inductor
55,C27_0,27,0,1.73e-14,capacitor
56,L27_28,27,28,4.13e-11,linear_inductor
57,C28_0,28,0,1.73e-14,capacitor
58,L28_29,28,29,4.13e-11,linear_inductor
59,C29_0,29,0,1.73e-14,capacitor
60,L29_30,29,30,4.13e-11,linear_inductor
61,C30_0,30,0,1.73e-14,capacitor
62,L30_31,30,31,4.13e-11,linear_inductor
63,C31_0,31,0,1.73e-14,capacitor
64,L31_32,31,32,4.13e-11,linear_inductor
65,C32_0,32,0,1.73e-14,capacitor
66,L32_33,32,33,4.13e-11,linear_inductor
67,C33_0,33,0,1.73e-14,capacitor
68,L33_34,33,34,4.13e-11,linear_inductor
69,C34_0,34,0,1.73e-14,capacitor
70,L34_35,34,35,4.13e-11,linear_inductor
71,C35_0,35,0,1.73e-14,capacitor
72,L35_36,35,36,4.13e-11,linear_inductor
73,C36_0,36,0,1.73e-14,capacitor
74,L36_37,36,37,4.13e-11,linear_inductor
75,C37_0,37,0,1.73e-14,capacitor
76,L37_38,37,38,4.13e-11,linear_inductor
77,C38_0,38,0,1.73e-14,capacitor
78,L38_39,38,39,4.13e-11,linear_inductor
79,C39_0,39,0,1.73e-14,capacitor
80,L39_40,39,40,4.13e-11,linear_inductor
81,C40_0,40,0,1.73e-14,capacitor
82,L40_41,40,41,4.13e-11,linear_inductor
83,C41_0,41,0,1.73e-14,capacitor
84,L41_42,41,42,4.13e-11,linear_inductor
85,C42_0,42,0,1.73e-14,capacitor
86,L42_43,42,43,4.13e-11,linear_inductor
87,C43_0,43,0,1.73e-14,capacitor
88,L43_44,43,44,4.13e-11,linear_inductor
89,C44_0,44,0,1.73e-14,capacitor
90,L44_45,44,45,4.13e-11,linear_inductor
91,C45_0,45,0,1.73e-14,capacitor
92,L45_46,45,46,4.13e-11,linear_inductor
93,C46_0,46,0,1.73e-14,capacitor
94,L46_47,46,47,4.13e-11,linear_inductor
95,C47_0,47,0,1.73e-14,capacitor
96,L47_48,47,48,4.13e-11,linear_inductor
97,C48_0,48,0,1.73e-14,capacitor
98,L48_49,48,49,4.13e-11,linear_inductor
99,C49_0,49,0,1.73e-14,capacitor
100,L49_50,49,50,4.13e-11,linear_inductor
101,C50_0,50,0,1.73e-14,capacitor
102,L50_51,50,51,4.13e-11,linear_inductor
103,C51_0,51,0,1.73e-14,capacitor
104,L51_52,51,52,4.13e-11,linear_inductor
105,C52_0,52,0,1.73e-14,capacitor
106,L52_53,52,53,4.13e-11,linear_inductor
107,C53_0,53,0,1.73e-14,capacitor
108,L53_54,53,54,4.13e-11,linear_inductor
109,C54_0,54,0,1.73e-14,capacitor
110,L54_55,54,55,4.13e-11,linear_inductor
111,C55_0,55,0,1.73e-14,capacitor
112,L55_56,55,56,4.13e-11,linear_inductor
113,C56_0,56,0,1.73e-14,capacitor
114,L56_57,56,57,4.13e-11,linear_inductor
115,C57_0,57,0,1.73e-14,capacitor
116,L57_58,57,58,4.13e-11,linear_inductor
117,C58_0,58,0,1.73e-14,capacitor
118,L58_59,58,59,4.13e-11,linear_inductor
119,C59_0,59,0,1.73e-14,capacitor
120,L59_60,59,60,4.13e-11,linear_inductor
121,C60_0,60,0,1.73e-14,capacitor
122,L60_61,60,61,4.13e-11,linear_inductor
123,C61_0,61,0,1.73e-14,capacitor
124,L61_62,61,62,4.13e-11,linear_inductor
125,C62_0,62,0,1.73e-14,capacitor
126,L62_63,62,63,4.13e-11,linear_inductor
127,C63_0,63,0,1.73e-14,capacitor
128,L63_64,63,64,4.13e-11,linear_inductor
129,C64_0,64,0,1.73e-14,capacitor
130,L64_65,64,65,4.13e-11,linear_inductor
131,C65_0,65,0,1.73e-14,capacitor
132,L65_66,65,66,4.13e-11,linear_inductor
133,C66_0,66,0,1.73e-14,capacitor
134,L66_67,66,67,4.13e-11,linear_inductor
135,C67_0,67,0,1.73e-14,capacitor
136,L67_68,67,68,4.13e-11,linear_inductor
137,C68_0,68,0,1.73e-14,capacitor
138,L68_69,68,69,4.13e-11,linear_inductor
139,C69_0,69,0,1.73e-14,capacitor
140,L69_70,69,70,4.13e-11,linear_inductor
141,C70_0,70,0,1.73e-14,capacitor
142,L70_71,70,71,4.13e-11,linear_inductor
143,C71_0,71,0,1.73e-14,capacitor
144,L71_72,71,72,4.13e-11,linear_inductor
145,C72_0,72,0,1.73e-14,capacitor
146,L72_73,72,73,4.13e-11,linear_inductor
147,C73_0,73,0,1.73e-14,capacitor
148,L73_74,73,74,4.13e-11,linear_inductor
149,C74_0,74,0,1.73e-14,capacitor
150,L74_75,74,75,4.13e-11,linear_inductor
151,C75_0,75,0,1.73e-14,capacitor
152,L75_76,75,76,4.13e-11,linear_inductor
153,C76_0,76,0,1.73e-14,capacitor
154,L76_77,76,77,4.13e-11,linear_inductor
155,C77_0,77,0,1.73e-14,capacitor
156,L77_78,77,78,4.13e-11,linear_inductor
157,C78_0,78,0,1.73e-14,capacitor
158,L78_79,78,79,4.13e-11,linear_inductor
159,C79_0,79,0,1.73e-14,capacitor
160,L79_80,79,80,4.13e-11,linear_inductor
161,C80_0,80,0,1.73e-14,capacitor
162,L80_81,80,81,4.13e-11,linear_inductor
163,C81_0,81,0,1.73e-14,capacitor
164,L81_82,81,82,4.13e-11,linear_inductor
165,C82_0,82,0,1.73e-14,capacitor
166,L82_83,82,83,4.13e-11,linear_inductor
167,C83_0,83,0,1.73e-14,capacitor
168,L83_84,83,84,4.13e-11,linear_inductor
169,C84_0,84,0,1.73e-14,capacitor
170,L84_85,84,85,4.13e-11,linear_inductor
171,C85_0,85,0,1.73e-14,capacitor
172,L85_86,85,86,4.13e-11,linear_inductor
173,C86_0,86,0,1.73e-14,capacitor
174,L86_87,86,87,4.13e-11,linear_inductor
175,C87_0,87,0,1.73e-14,capacitor
176,L87_88,87,88,4.13e-11,linear_inductor
177,C88_0,88,0,1.73e-14,capacitor
178,L88_89,88,89,4.13e-11,linear_inductor
179,C89_0,89,0,1.73e-14,capacitor
180,L89_90,89,90,4.13e-11,linear_inductor
181,C90_0,90,0,1.73e-14,capacitor
182,L90_91,90,91,4.13e-11,linear_inductor
183,C91_0,91,0,1.73e-14,capacitor
184,L91_92,91,92,4.13e-11,linear_inductor
185,C92_0,92,0,1.73e-14,capacitor
186,L92_93,92,93,4.13e-11,linear_inductor
187,C93_0,93,0,1.73e-14,capacitor
188,L93_94,93,94,4.13e-11,linear_inductor
189,C94_0,94,0,1.73e-14,capacitor
190,L94_95,94,95,4.13e-11,linear_inductor
191,C95_0,95,0,1.73e-14,capacitor
192,L95_96,95,96,4.13e-11,linear_inductor
193,C96_0,96,0,1.73e-14,capacitor
194,L96_97,96,97,4.13e-11,linear_inductor
195,C97_0,97,0,1.73e-14,capacitor
196,L97_98,97,98,4.13e-11,linear_inductor
197,C98_0,98,0,1.73e-14,capacitor
198,L98_99,98,99,4.13e-11,linear_inductor
199,C99_0,99,0,1.73e-14,capacitor
200,L99_100,99,100,4.13e-11,linear_inductor
201,C100_0,100,0,1.73e-14,capacitor
202,L100_101,100,101,4.13e-11,linear_inductor
203,P10000_0,10000,0,3,port
204,R10000_0,10000,0,50.0,resistor
205,C10000_0,10000,0,1.73e-14,capacitor
206,L10000_10001,10000,10001,4.13e-11,linear_inductor
207,C10001_0,10001,0,1.73e-14,capacitor
208,L10001_10002,10001,10002,4.13e-11,linear_inductor
209,C10002_0,10002,0,1.73e-14,capacitor
210,L10002_10003,10002,10003,4.13e-11,linear_inductor
211,C10003_0,10003,0,1.73e-14,capacitor
212,L10003_10004,10003,10004,4.13e-11,linear_inductor
213,C10004_0,10004,0,1.73e-14,capacitor
214,L10004_10005,10004,10005,4.13e-11,linear_inductor
215,C10005_0,10005,0,1.73e-14,capacitor
216,L10005_10006,10005,10006,4.13e-11,linear_inductor
217,C10006_0,10006,0,1.73e-14,capacitor
218,L10006_10007,10006,10007,4.13e-11,linear_inductor
219,C10007_0,10007,0,1.73e-14,capacitor
220,L10007_10008,10007,10008,4.13e-11,linear_inductor
221,C10008_0,10008,0,1.73e-14,capacitor
222,L10008_10009,10008,10009,4.13e-11,linear_inductor
223,C10009_0,10009,0,1.73e-14,capacitor
224,L10009_10010,10009,10010,4.13e-11,linear_inductor
225,C10010_0,10010,0,1.73e-14,capacitor
226,L10010_10011,10010,10011,4.13e-11,linear_inductor
227,C10011_0,10011,0,1.73e-14,capacitor
228,L10011_10012,10011,10012,4.13e-11,linear_inductor
229,C10012_0,10012,0,1.73e-14,capacitor
230,L10012_10013,10012,10013,4.13e-11,linear_inductor
231,C10013_0,10013,0,1.73e-14,capacitor
232,L10013_10014,10013,10014,4.13e-11,linear_inductor
233,C10014_0,10014,0,1.73e-14,capacitor
234,L10014_10015,10014,10015,4.13e-11,linear_inductor
235,C10015_0,10015,0,1.73e-14,capacitor
236,L10015_10016,10015,10016,4.13e-11,linear_inductor
237,C10016_0,10016,0,1.73e-14,capacitor
238,L10016_10017,10016,10017,4.13e-11,linear_inductor
239,C10017_0,10017,0,1.73e-14,capacitor
240,L10017_10018,10017,10018,4.13e-11,linear_inductor
241,C10018_0,10018,0,1.73e-14,capacitor
242,L10018_10019,10018,10019,4.13e-11,linear_inductor
243,C10019_0,10019,0,1.73e-14,capacitor
244,L10019_10020,10019,10020,4.13e-11,linear_inductor
245,C10020_0,10020,0,1.73e-14,capacitor
246,L10020_10021,10020,10021,4.13e-11,linear_inductor
247,C10021_0,10021,0,1.73e-14,capacitor
248,L10021_10022,10021,10022,4.13e-11,linear_inductor
249,C10022_0,10022,0,1.73e-14,capacitor
250,L10022_10023,10022,10023,4.13e-11,linear_inductor
251,C10023_0,10023,0,1.73e-14,capacitor
252,L10023_10024,10023,10024,4.13e-11,linear_inductor
253,C10024_0,10024,0,1.73e-14,capacitor
254,L10024_10025,10024,10025,4.13e-11,linear_inductor
255,C10025_0,10025,0,1.73e-14,capacitor
256,L10025_10026,10025,10026,4.13e-11,linear_inductor
257,C10026_0,10026,0,1.73e-14,capacitor
258,L10026_10027,10026,10027,4.13e-11,linear_inductor
259,C10027_0,10027,0,1.73e-14,capacitor
260,L10027_10028,10027,10028,4.13e-11,linear_inductor
261,C10028_0,10028,0,1.73e-14,capacitor
262,L10028_10029,10028,10029,4.13e-11,linear_inductor
263,C10029_0,10029,0,1.73e-14,capacitor
264,L10029_10030,10029,10030,4.13e-11,linear_inductor
265,C10030_0,10030,0,1.73e-14,capacitor
266,L10030_10031,10030,10031,4.13e-11,linear_inductor
267,C10031_0,10031,0,1.73e-14,capacitor
268,L10031_10032,10031,10032,4.13e-11,linear_inductor
269,C10032_0,10032,0,1.73e-14,capacitor
270,L10032_10033,10032,10033,4.13e-11,linear_inductor
271,C10033_0,10033,0,1.73e-14,capacitor
272,L10033_10034,10033,10034,4.13e-11,linear_inductor
273,C10034_0,10034,0,1.73e-14,capacitor
274,L10034_10035,10034,10035,4.13e-11,linear_inductor
275,C10035_0,10035,0,1.73e-14,capacitor
