f_s_GHz,gain_dB,photon_flux_rel_err,status,dk_lin_rad_per_m,dk_nl_rad_per_m,dk_total_rad_per_m
4.0,0.1278542361512015,3.344612299943103e-12,CONSERVATIVE,-6562.704716502296,591.34,-5971.364716502296
4.1,0.12601777463225164,3.3035655384705063e-12,CONSERVATIVE,-6176.318720664349,591.34,-5584.978720664349
4.2,0.014528112541455456,3.5494181504044277e-12,CONSERVATIVE,-5803.145592146102,591.34,-5211.805592146102
4.3,0.25681384788738765,3.445197311282499e-12,CONSERVATIVE,-5442.988927006896,591.34,-4851.648927006896
4.4,0.1220644376051158,3.8557527809554266e-12,CONSERVATIVE,-5095.66124694694,591.34,-4504.32124694694
4.5,0.054626373323417056,4.509282830372897e-12,CONSERVATIVE,-4760.983660329264,591.34,-4169.643660329264
4.6,0.421579254185769,4.9030596224477715e-12,CONSERVATIVE,-4438.785544398372,591.34,-3847.4455443983716
4.7,0.23583460233053213,5.5570662405020514e-12,CONSERVATIVE,-4128.904247329061,591.34,-3537.564247329061
4.8,0.037213046731225725,6.889143828796528e-12,CONSERVATIVE,-3831.184808849488,591.34,-3239.844808849488
4.9,0.6566745128841027,8.333598907913923e-12,CONSERVATIVE,-3545.4796982878906,591.34,-2954.1396982878905
5.0,0.7203349228869089,1.1014596648320087e-11,CONSERVATIVE,-3271.648568984383,591.34,-2680.308568984383
5.1,0.02716992745293186,1.681058740975681e-11,CONSERVATIVE,-3009.5580280959985,591.34,-2418.2180280959983
5.2,0.7782108375415766,2.8809952068310517e-11,CONSERVATIVE,-2759.0814209013915,591.34,-2167.7414209013914
5.3,2.039103093833689,6.955934598704254e-11,CONSERVATIVE,-2520.0986287839914,591.34,-1928.7586287839913
5.4,1.0956731573047873,1.3307667261280754e-10,CONSERVATIVE,-2292.4958801368484,591.34,-1701.1558801368483
5.5,0.9883625595494119,3.1251398532335137e-10,CONSERVATIVE,-2076.1655734951055,591.34,-1484.8255734951053
5.6,8.158257496608991,2.8925392569516457e-10,CONSERVATIVE,-1871.0061122562038,591.34,-1279.6661122562036
5.7,13.809959757261536,2.393548191148609e-11,CONSERVATIVE,-1676.92175040055,591.34,-1085.58175040055
5.8,17.58865904316601,1.541617395633636e-11,CONSERVATIVE,-1493.8224486719264,591.34,-902.4824486719264
5.9,20.16752295101638,4.954377115546339e-11,CONSERVATIVE,-1321.6237407221488,591.34,-730.2837407221488
6.0,21.93326732163164,2.7297716732414758e-11,CONSERVATIVE,-1160.246608764137,591.34,-568.9066087641369
6.1,23.118173057608402,1.469186422657782e-10,CONSERVATIVE,-1009.6173683170782,591.34,-418.2773683170782
6.2,23.87292296504626,2.378660399803234e-10,CONSERVATIVE,-869.6675616609282,591.34,-278.32756166092815
6.300000000000001,24.30122697655935,1.028751055503418e-10,CONSERVATIVE,-740.3338596524991,591.34,-148.99385965249905
6.4,24.478521344854684,3.1000237924663814e-10,CONSERVATIVE,-621.5579715849744,591.34,-30.217971584974407
6.5,24.46296212191912,2.9905051911206107e-10,CONSERVATIVE,-513.2865628027939,591.34,78.05343719720611
6.6,24.302105515647643,2.1119348925869907e-10,CONSERVATIVE,-415.4711798099888,591.34,175.8688201900112
6.7,24.036958938681956,1.0693563922034355e-10,CONSERVATIVE,-328.0681826383079,591.34,263.2718173616921
6.800000000000001,23.704326108783597,8.365498247700798e-11,CONSERVATIVE,-251.03868426305417,591.34,340.30131573694587
6.9,23.337983810654546,5.0829685640944077e-11,CONSERVATIVE,-184.3484968804696,591.34,406.9915031195304
7.0,22.969036482677314,2.8980372795488694e-11,CONSERVATIVE,-127.96808488173701,591.34,463.371915118263
7.1,22.62570218450001,2.1151969062123146e-11,CONSERVATIVE,-81.87252437967982,591.34,509.4674756203202
7.2,22.332734731000347,3.692351534418344e-11,CONSERVATIVE,-46.041469166317256,591.34,545.2985308336828
7.300000000000001,22.110657569839667,2.400199272026753e-11,CONSERVATIVE,-20.459122997970553,591.34,570.8808770020295
