f_GHz,k_measured,k_builder,k_cme
4.0,40757.2338682701,40757.2338682701,43230.1725576204
4.05,41281.26839637387,41281.2683963739,43777.13530362107
4.1,41805.86370965062,41805.8637096506,44324.34902796707
4.15,42331.027873461986,42331.02787346194,44871.8171813985
4.2,42856.76899887934,42856.768998879335,45419.54322846125
4.25,43383.09524348189,43383.0952434819,45967.53064772942
4.3,43910.01481216448,43910.014812164496,46515.78293203001
4.35,44437.535957956534,44437.53595795652,47064.3035886698
4.4,44965.66698285112,44965.666982851166,47613.09613966461
4.45,45494.41623864593,45494.41623864593,48162.164121970774
4.5,46023.79212779401,46023.79212779402,48711.51108771928
4.55,46553.803104267485,46553.803104267434,49261.14060445205
4.6,47084.45767443167,47084.45767443165,49811.056255360985
4.65,47615.76439793229,47615.76439793228,50361.26163952929
4.7,48147.731888593924,48147.73188859389,50911.760372175646
4.75,48680.368815331465,48680.36881533143,51462.556084900796
4.8,49213.68390307434,49213.68390307435,52013.65242593709
4.85,49747.685933703775,49747.68593370377,52565.0530604004
4.9,50282.38374700294,50282.383747002976,53116.76167054526
4.95,50817.78624162154,50817.78624162155,53668.78195602246
5.0,51353.902376053455,51353.90237605347,54221.1176341399
5.05,51890.74116962938,51890.74116962939,54773.77244012606
5.1,52428.31170352353,52428.3117035235,55326.750127396816
5.15,52966.623121775214,52966.623121775185,55880.054467825095
5.2,53505.68463232613,53505.6846323261,56433.68925201371
5.25,54045.50550807248,54045.50550807249,56987.65828957154
5.3,54586.09508793361,54586.0950879336,57541.96540939271
5.35,55127.46277793627,55127.46277793626,58096.61445993938
5.4,55669.61805231612,55669.61805231611,58651.609309527594
5.45,56212.57045463572,56212.57045463569,59206.95384661689
5.5,56756.32959892002,56756.32959892,59762.65198010316
5.55,57300.90517080974,57300.905170809725,60318.707639615284
5.6,57846.30692873264,57846.306928732665,60875.12477581528
5.65,58392.544705093605,58392.5447050936,61431.90736070225
5.7,58939.62840748323,58939.62840748323,61989.05938792002
5.75,59487.56801990639,59487.56801990637,62546.58487306873
5.8,60036.37360403025,60036.37360403021,63104.487854020445
5.85,60586.055300452594,60586.055300452565,63662.77239123844
5.9,61136.62332999109,61136.623329991075,64221.442568100996
5.95,61688.08799499345,61688.08799499345,64780.50249122892
6.0,62240.45968066966,62240.459680669635,65339.95629081791
6.050000000000001,62793.74885644598,62793.74885644594,65899.8081209745
6.1,63347.96607734194,63347.96607734192,66460.06216005699
6.15,63903.121985370715,63903.121985370664,67020.72261102068
6.2,64459.22731096262,64459.22731096259,67581.79370176767
6.25,65016.29287441367,65016.29287441369,68143.2796855013
6.300000000000001,65574.32958735865,65574.32958735865,68705.18484108543
6.35,66133.34845426933,66133.3484542693,69267.51347340853
6.4,66693.36057397933,66693.36057397931,69830.26991375281
6.45,67254.37714123545,67254.37714123545,70393.45852016819
6.5,67816.40944827595,67816.40944827594,70957.08367785158
6.550000000000001,68379.46888643713,68379.46888643711,71521.1497995314
6.6,68943.56694778833,68943.56694778832,72085.66132585736
6.65,69508.71522679634,69508.71522679632,72650.62272579578
6.7,70074.92542201954,70074.9254220195,73216.03849703041
6.75,70642.20933783284,70642.2093378328,73781.91316636883
6.800000000000001,71210.5788861841,71210.5788861841,74348.25129015498
6.85,71780.04608838269,71780.04608838266,74915.05745468702
6.9,72350.62307692072,72350.62307692072,75482.33627664178
6.95,72922.32209732856,72922.32209732854,76050.0924035049
7.0,73495.15551006421,73495.1555100642,76618.3305140075
7.050000000000001,74069.13579243889,74069.13579243884,77187.05531856905
7.1,74644.27554057795,74644.27554057793,77756.27155974683
7.15,75220.58747142002,75220.58747142002,78325.98401269212
7.2,75798.08442475324,75798.0844247532,78896.19748561278
7.25,76376.7793652909,76376.77936529089,79466.91682024325
7.300000000000001,76956.68538478755,76956.68538478753,80038.14689232125
7.35,77537.81570419512,77537.8157041951,80609.89261207172
7.4,78120.1836758619,78120.18367586189,81182.15892469816
7.45,78703.8027857742,78703.80278577415,81754.9508108814
7.5,79288.68665584204,79288.68665584202,82328.27328728593
7.550000000000001,79874.84904623058,79874.84904623056,82902.13140707437
7.6,80462.30385773747,80462.30385773745,83476.53026042921
7.65,81051.06513421821,81051.06513421818,84051.47497508343
7.7,81641.14706506002,81641.14706505998,84626.97071685879
7.75,82232.56398770605,82232.56398770602,85203.02269021304
7.800000000000001,82825.33039023093,82825.33039023093,85779.6361387953
7.85,83419.46091396891,83419.46091396887,86356.81634601054
7.9,84014.97035619624,84014.97035619622,86934.56863559311
7.95,84611.87367286911,84611.87367286913,87512.89837218914
8.0,85210.18598141849,85210.18598141849,88091.81096194862
8.05,85809.92256360335,85809.92256360334,88671.3118531267
8.100000000000001,86411.09886842429,86411.09886842425,89251.4065366952
8.15,87013.73051509832,87013.7305150983,89832.10054696367
8.2,87617.83329609763,87617.83329609761,90413.3994622109
8.25,88223.42318025262,88223.42318025258,90995.30890532682
8.3,88830.51631592218,88830.51631592217,91577.83454446467
8.350000000000001,89439.1290342326,89439.12903423255,92160.98209370463
8.4,90049.27785238644,90049.27785238643,92744.75731372801
8.45,90660.97947704469,90660.97947704465,93329.166012503
8.5,91274.25080778234,91274.2508077823,93914.2140459821
8.55,91889.10894062107,91889.10894062105,94499.90731881082
8.600000000000001,92505.57117164037,92505.57117164036,95086.25178504933
8.65,93123.65500066946,93123.6550006694,95673.2534489057
8.7,93743.37813506208,93743.37813506206,96260.9183654821
8.75,94364.75849355724,94364.75849355721,96849.25264153385
8.8,94987.81421022714,94987.8142102271,97438.26243624158
8.850000000000001,95612.5636385159,95612.56363851589,98027.95396199689
8.9,96239.02535537115,96239.02535537114,98618.33348520189
8.95,96867.21816547135,96867.21816547132,99209.40732708259
9.0,97497.16110555112,97497.16110555112,99801.18186451693
9.05,98128.87344882847,98128.87344882845,100393.66353087721
9.100000000000001,98762.37470953583,98762.37470953578,100986.85881688805
9.15,99397.68464755845,99397.6846475584,101580.77427149918
9.2,100034.8232731837,100034.82327318368,102175.41650277433
9.25,100673.8108519636,100673.81085196356,102770.79217879628
9.3,101314.667909695,101314.66790969497,103366.90802858805
9.350000000000001,101957.41523752038,101957.41523752034,103963.77084305107
9.4,102602.07389715278,102602.07389715273,104561.38747592083
9.45,103248.66522622947,103248.66522622945,105159.76484473987
9.5,103897.21084379731,103897.2108437973,105758.90993184895
9.55,104547.73265593425,104547.73265593422,106358.82978539664
9.600000000000001,105200.25286151154,105200.25286151152,106959.53152036773
9.65,105854.7939581004,105854.79395810039,107561.02231963129
9.7,106511.37874802829,106511.37874802826,108163.30943500821
9.75,107170.03034458889,107170.03034458884,108766.40018835926
9.8,107830.77217841103,107830.772178411,109370.30197269362
9.850000000000001,108493.62800399183,108493.6280039918,109975.02225329894
9.9,109158.62190639849,109158.62190639848,110580.56856889314
9.95,109825.7783081455,109825.77830814545,111186.94853279837
10.0,110495.12197625123,110495.12197625119,111794.16983413787
10.05,111166.67802948164,111166.67802948161,112402.24023905626
10.100000000000001,111840.47194578557,111840.47194578554,113011.16759196376
10.15,112516.52956992899,112516.52956992896,113620.9598168049
10.2,113194.87712133476,113194.87712133474,114231.62491835254
10.25,113875.54120213387,113875.54120213386,114843.17098352764
10.3,114558.54880543653,114558.54880543653,115455.60618274519
10.350000000000001,115243.9273238296,115243.92732382954,116068.9387712876
10.4,115931.70455810834,115931.70455810828,116683.17709070553
10.45,116621.90872625099,116621.90872625093,117298.32957024769
10.5,117314.56847264366,117314.56847264363,117914.40472831894
10.55,118009.71287756487,118009.71287756485,118531.41117396926
10.600000000000001,118707.37146693865,118707.37146693865,119149.35760841277
10.65,119407.57422236569,119407.57422236566,119768.25282657857
10.7,120110.35159144203,120110.35159144198,120388.10571869364
10.75,120815.73449837611,120815.73449837608,121008.92527189897
10.8,121523.75435491443,121523.7543549144,121630.72057189983
10.850000000000001,122234.44307158705,122234.443071587,122253.50080465054
10.9,122947.83306928459,122947.83306928456,122877.27525807514
10.95,123663.95729117916,123663.95729117916,123502.0533238254
11.0,124382.84921500116,124382.8492150011,124127.84449907555
