pump_dBm,signal_GHz,gain_vs_off_db,status,residual_norm,nonlinear_pump_phase_rad
-66.0,7.7,0.7700336356114147,SOLVED,9.953880222741266e-16,-4.111055630733128e-05
-66.0,7.8,0.4606403522310786,SOLVED,6.987343962878876e-16,-3.456971469866905e-05
-66.0,7.9,0.796480648204796,SOLVED,1.0448095813636512e-15,-4.2306802769673535e-05
-66.0,8.0,0.49398228745366723,SOLVED,7.289450772684328e-16,-3.5411288088830505e-05
-66.0,8.1,0.8218100503993947,SOLVED,1.0980225255795422e-15,-4.348955100558991e-05
-66.0,8.2,0.4973786988593465,SOLVED,7.871485998786344e-16,-3.696281946528541e-05
-66.0,8.3,0.8716300757140647,SOLVED,1.1607840746812193e-15,-4.4826297642550025e-05
-66.0,8.4,0.4499707976778832,SOLVED,8.619865072170299e-16,-3.888331143063644e-05
-66.0,8.5,0.9547946588038624,SOLVED,1.243973477335304e-15,-4.6556783136964734e-05
-66.0,8.6,0.3306203134379238,SOLVED,9.388442880888668e-16,-4.0769009636754165e-05
-66.0,8.7,1.0846283678271584,SOLVED,1.3607910253778225e-15,-4.8853924646081986e-05
-66.0,8.8,0.1381888999045719,SOLVED,1.0101694286653764e-15,-4.2275357979146615e-05
-66.0,8.9,1.2215954637866768,SOLVED,9.464359251652134e-21,-5.1559152959924084e-05
-66.0,9.0,-0.09319230231634068,SOLVED,1.0656974649420986e-15,-4.373512395417149e-05
-69.3,7.7,3.754667884543548,SOLVED,3.75253785337035e-16,5.688407170010898e-05
-69.3,7.8,4.187860306989935,SOLVED,3.3171704935972137e-16,5.1863526145210965e-05
-69.3,7.9,3.8649929923575916,SOLVED,3.9219829584907875e-16,5.8749686785140256e-05
-69.3,8.0,4.3225740516055176,SOLVED,3.3633129324029527e-16,5.204496377971442e-05
-69.3,8.1,4.053184828834694,SOLVED,4.1327015354604655e-16,6.063234909823615e-05
-69.3,8.2,4.455123189015701,SOLVED,3.4603730263248755e-16,5.2816135290012887e-05
-69.3,8.3,4.356028086526519,SOLVED,4.4242764774339786e-16,6.276086859286723e-05
-69.3,8.4,4.493485348989108,SOLVED,3.527646536515611e-16,5.384697529151037e-05
-69.3,8.5,4.8019090276803125,SOLVED,4.884794748592177e-16,6.558544838982846e-05
-69.3,8.6,4.397612435921058,SOLVED,3.517543987888757e-16,5.478671235094236e-05
-69.3,8.7,5.372323420575467,SOLVED,5.584887099539648e-16,6.939363857400448e-05
-69.3,8.8,4.2066660201805774,SOLVED,3.5061666138393184e-16,5.592692394837889e-05
-69.3,8.9,5.93726569680549,SOLVED,6.47600924015266e-16,7.391438790201877e-05
-69.3,9.0,4.0228833916550375,SOLVED,3.588075979092239e-16,5.769525804027369e-05
-71.0,7.7,2.209654839396514,SOLVED,2.6292216919597383e-16,6.127270823827645e-05
-71.0,7.8,4.06298603204975,SOLVED,4.681684631640164e-16,7.918555041781325e-05
-71.0,7.9,2.335395792599405,SOLVED,2.738603788474549e-16,6.275479883948304e-05
-71.0,8.0,4.037649045200065,SOLVED,4.643180341416738e-16,8.023005538885933e-05
-71.0,8.1,2.5573101441098887,SOLVED,2.9301871510400965e-16,6.502818401695281e-05
-71.0,8.2,3.987768641614333,SOLVED,4.621520910244192e-16,8.162491272323894e-05
-71.0,8.3,2.8659160305892666,SOLVED,3.211192840016618e-16,6.824437878859593e-05
-71.0,8.4,3.922347474481765,SOLVED,4.65199751968728e-16,8.366654410767598e-05
-71.0,8.5,3.231398005258529,SOLVED,3.592159591981128e-16,7.262302362278542e-05
-71.0,8.6,3.8635800060559378,SOLVED,4.789174084187432e-16,8.6667277356322e-05
-71.0,8.7,3.570574757431972,SOLVED,4.0253265851068127e-16,7.797177424184788e-05
-71.0,8.8,3.831932642869986,SOLVED,5.113696221367342e-16,9.129349866799255e-05
-71.0,8.9,3.746351767625997,SOLVED,4.3346279659617005e-16,8.30084698135424e-05
-71.0,9.0,3.832260457234163,SOLVED,5.690066427691059e-16,9.803595379632582e-05
-74.0,7.7,1.2057016539602867,SOLVED,2.368044478098604e-16,8.450709766913754e-05
-74.0,7.8,2.140511110887097,SOLVED,3.139621070676273e-16,9.875673068099278e-05
-74.0,7.9,1.204248578761387,SOLVED,2.3874213218789277e-16,8.505890586872556e-05
-74.0,8.0,2.1794352899855736,SOLVED,3.208126407864053e-16,0.0001007564702510061
-74.0,8.1,1.2704523371404728,SOLVED,2.4754553952222064e-16,8.706058690008178e-05
-74.0,8.2,2.187603861539063,SOLVED,3.26870779060123e-16,0.00010267353089326094
-74.0,8.3,1.3798219483213645,SOLVED,2.6210731289822505e-16,9.050909337494197e-05
-74.0,8.4,2.1584709762799474,SOLVED,3.320467138880566e-16,0.00010451353568515583
-74.0,8.5,1.5052293124609326,SOLVED,2.8058913611669567e-16,9.519013769648251e-05
-74.0,8.6,2.074243742443995,SOLVED,3.3663460642412183e-16,0.0001063448949535299
-74.0,8.7,1.6296649705577027,SOLVED,3.0084056938851543e-16,0.00010067805660253287
-74.0,8.8,1.90218341992253,SOLVED,3.3978190145037173e-16,0.00010814095115898043
-74.0,8.9,1.7587035351719191,SOLVED,3.2359854395019016e-16,0.00010672041830396438
-74.0,9.0,1.6014826332036,SOLVED,3.3921289839065666e-16,0.00010965817817929429
-78.4,7.7,0.5418724843114363,SOLVED,1.5702709525356552e-16,0.00014293832942078037
-78.4,7.8,0.2601500384634253,SOLVED,1.124872399638879e-16,0.00012137634835682318
-78.4,7.9,0.512303831477471,SOLVED,1.5932480459164183e-16,0.00014430474200180106
-78.4,8.0,0.26579575915255355,SOLVED,1.1367717043324191e-16,0.0001222312125284726
-78.4,8.1,0.5158657586842179,SOLVED,1.63135441821851e-16,0.00014649566490145717
-78.4,8.2,0.244399383578915,SOLVED,1.149195357461866e-16,0.00012321172744708127
-78.4,8.3,0.5562198099596781,SOLVED,1.6827440630131202e-16,0.00014939302199842557
-78.4,8.4,0.18452407980158722,SOLVED,1.163430464511341e-16,0.00012439058232275959
-78.4,8.5,0.6340287484415947,SOLVED,1.7416741303550906e-16,0.00015265398212598337
-78.4,8.6,0.07885914938148753,SOLVED,1.184219928915258e-16,0.00012603387271776067
-78.4,8.7,0.7399204296914336,SOLVED,1.7931441023688173e-16,0.00015554185623067824
-78.4,8.8,-0.07156174819108048,SOLVED,1.2207565109978128e-16,0.00012858190671281413
-78.4,8.9,0.8405034388515913,SOLVED,1.809849385317728e-16,0.00015683832838404773
-78.4,9.0,-0.24019623134567916,SOLVED,1.2853947653897783e-16,0.00013251610355324094
